Varnummer;Namn;Underrubrik;Prisinklmoms;Volymiml;Saljstart;Varugrupp;Forpackning;Forslutning;Ursprung;Ursprunglandnamn;Producent;Leverantor;Argang;Provadargang;Alkoholhalt;Sortiment;Ekologisk;RavarorBeskrivning;fyllighet;stravhet;fruktsyra;druva;smak;doft
2233;Château Pech-Latt;;99;750;2000-03-06;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Languedoc-Roussillon, Corbières;Frankrike;Château Pech-Latt;Sigva AB;2013;2013;13%;FS;1;Carignan, grenache, syrah och mourvèdre.;7 ;7 ;9 ;Carignan,grenache,syrah,och,mourvèdre;Fruktig,smak,inslag,skogsbär,viol,kakao,örter ;Fruktig,doft,inslag,skogsbär,viol,choklad,örter
22335;Candidato;Tempranillo;54;750;2012-10-01;Rott vin, Mjukt & Barigt;PET-flaska;Skruvkapsyl;VdlT Castilla;Spanien;Cosecheros y Criadores;Arvid Nordquist Vin och Sprithandel;2013;2013;13%;FS;1;Tempranillo.;4 ;5 ;9 ;Tempranillo;Bärig,smak,inslag,björnbär,slånbär,sötlakrits ;Bärig,aningen,bränd,doft,inslag,mörka,hallon,lakrits
22335;Candidato;Tempranillo;159;3000;2006-12-29;Rott vin, Fruktigt & Smakrikt;Box;Vingtapp;VdlT Castilla;Spanien;Cosecheros y Criadores;Arvid Nordquist Vin och Sprithandel;2013;2013;13%;FSB;1;;4 ;5 ;9 ;Tempranillo;Bärig,smak,inslag,björnbär,slånbär,sötlakrits ;Bärig,aningen,bränd,doft,inslag,mörka,hallon,lakrits
22337;Girard;Old Vine Zinfandel;179;750;2012-04-02;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Kalifornien, North Coast, Napa Valley;USA;Girard;Terrific Wines AB;2012;2012;15%;FS;0;Zinfandel.;10;8 ;9 ;Zinfandel;Generöst,fruktig,smak,fatkaraktär,inslag,björnbär,jordgubbar,choklad,örter,vanilj ;Mycket,fruktig,doft,fatkaraktär,inslag,mörka,choklad,basilika,jordgubbar,vanilj
2234;Ironstone;Cabernet Franc;97;750;2014-06-02;Rott vin, Fruktigt & Smakrikt;Flaska;Plastkork/syntetkork;Kalifornien, Central Valley, Lodi;USA;Ironstone Vineyards;Stellan Kramer AB;2012;2012;13.5%;FS;0;Cabernet franc.;7 ;6 ;9 ;Cabernet,franc;Fruktig,smak,inslag,körsbär,vanilj,hallon,peppar,choklad ;Fruktig,doft,inslag,körsbär,vanilj,hallon,choklad
22346;Barra of Mendocino;Cabernet Sauvignon;119;750;2014-09-01;Rott vin, Fruktigt & Smakrikt;Flaska;Naturkork;Kalifornien, North Coast, Mendocino County;USA;Barra of Mendocino;Prime Wine Sweden AB;2012;2012;14%;FSN;1;Cabernet sauvignon.;9 ;9 ;9 ;Cabernet,sauvignon;Mycket,fruktig,smak,fatkaraktär,inslag,svarta,vinbär,örter,korinter,ceder,kakao ;Mycket,fruktig,doft,fatkaraktär,inslag,svarta,vinbär,choklad,örter,korinter,ceder
22349;Infinitus Organic;Cabernet Sauvignon Tempranillo;170;3000;2006-12-29;Rott vin, Kryddigt & Mustigt;Box;Vingtapp;VdlT Castilla;Spanien;Cosecheros y Criadores;Amka Vinimport AB;NA;NA;13.5%;BS;0;Cabernet sauvignon och tempranillo.;inte testat;inte testat;inte testat;Ingen anged;inte testat;inte testat
22350;Tommasi;Amarone della Valpolicella Classico;285;750;1997-05-06;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico;Italien;Tommasi Viticoltori;Hermansson & Co AB;2011;2011;15%;FS;0;Corvina veronese, rondinella, corvinone och oseleta.;10;9 ;9 ;Corvina,veronese,rondinella,corvinone,och,oseleta;Kryddig,smak,liten,sötma,inslag,torkade,körsbär,romrussin,nötter,vanilj,choklad ;Kryddig,doft,inslag,korinter,torkade,körsbär,lakrits,nötter,choklad
22350;Tommasi;Amarone della Valpolicella Classico;150;375;2001-05-07;Rott vin, Kryddigt & Mustigt;Flaska;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico;Italien;Tommasi Viticoltori;Hermansson & Co AB;2011;2011;15%;FS;0;Corvina veronese, rondinella, corvinone och oseleta.;10;9 ;9 ;Corvina,veronese,rondinella,corvinone,och,oseleta;Kryddig,smak,liten,sötma,inslag,torkade,körsbär,romrussin,nötter,vanilj,choklad ;Kryddig,doft,inslag,korinter,torkade,körsbär,lakrits,nötter,choklad
22350;Tommasi;Amarone della Valpolicella Classico;628;1500;2012-10-01;Rott vin, Kryddigt & Mustigt;Magnum;Naturkork;Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico;Italien;Tommasi Viticoltori;Hermansson & Co AB;2008;2008;15%;FSB;0;;10;9 ;9 ;Corvina,veronese,rondinella,corvinone,och,oseleta;Kryddig,smak,liten,sötma,inslag,torkade,körsbär,romrussin,nötter,vanilj,choklad ;Kryddig,doft,inslag,korinter,torkade,körsbär,lakrits,nötter,choklad
