nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning
232202,251570,2322,il Conte,Montepulciano d'Abruzzo,38.000,,375,101.33,2007-04-02,,"Rott vin, Mjukt & Barigt",Flaska,Plastkork/syntetkork,"Abruzzerna, Montepulciano d'Abruzzo",Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,13.5%,FS,1,0,Montepulciano.
232301,625186,2323,Pasqua,Passimento,69.000,,750,92,2011-12-06,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Venetien,Italien,Pasqua,Enjoy Wine & Spirits AB,2010,,14%,BS,0,0,
232404,543435,2324,Sonovino,Primitivo,24.000,,250,96,2011-04-01,,"Rott vin, Mjukt & Barigt",Papp,,Apulien,Italien,MGM Mondo del Vino,Mondo Wine Sweden AB,2012,2012,13.5%,FS,0,0,90% primitivo och 10% negroamaro.
232501,543498,2325,Bolgarello,Rosso Sangiovese,79.000,,750,105.33,2011-04-01,,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,Toscana,Italien,Poggio al Tesoro,The WineAgency Sweden AB,2012,2012,13.5%,FS,0,0,85% sangiovese och 15% syrah.
232601,728854,2326,Epicuro,Zinfandel,89.000,,750,118.67,2013-01-16,,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Apulien,Italien,Femar Vini,Domaine Wines Sweden AB,2012,2012,14%,FS,0,0,Zinfandel.
232608,878480,2326,Epicuro,Zinfandel,239.000,,3000,79.67,2014-08-01,,"Rott vin, Fruktigt & Smakrikt",Box,,Apulien,Italien,Domaine Wines,Domaine Wines Sweden AB,2013,2013,14%,BS,0,0,Zinfandel.
232901,7875,2329,Pasqua Bardolino,,59.000,,750,78.67,1995-06-01,,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Venetien, Bardolino",Italien,Pasqua,Enjoy Wine & Spirits AB,2012,,12.5%,BS,0,0,
233001,705287,2330,Villa di Monte Chianti,,89.000,,750,118.67,2012-10-24,,Rott vin,Flaska,Naturkork,"Toscana, Chianti",Italien,Fratelli Grati,Vinovum AB,2010,,12.5%,BS,0,0,
233101,630877,2331,Dolcetto d'Alba,Orlando Abrigo,95.000,,750,126.67,2012-04-02,,Rott vin,Flaska,Naturkork,"Piemonte, Dolcetto d'Alba",Italien,Orlando Abrigo,Oenoforos AB,2013,,13.5%,BS,0,0,
233201,832894,2332,Amedeo,,89.000,,750,118.67,2014-06-02,,"Vitt vin, Friskt & Fruktigt",Flaska,Naturkork,"Venetien, Custoza Superiore",Italien,Cavalchina di Piona Giulietto,Giertz Vinimport AB,2013,2013,13%,FS,0,0,"40% garganega, 30% fernanda, 15% trebbianello och 15% trebbiano."
233301,722411,2333,Famiglia Terraccia Chianti,Riserva,79.000,,750,105.33,2012-12-19,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Toscana, Chianti",Italien,Cantine Baroncini S.R.L,Brandpartners AB,2010,,13%,BS,0,0,
233501,735661,2335,Il Falcone,Riserva,119.000,,750,158.67,2013-12-02,,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Apulien, Castel del Monte",Italien,Rivera,Moestue Grape Selections AB,2008,2008,13.5%,FS,0,0,70% nero di troia och 30% montepulciano.
233701,7885,2337,Montepulciano d'Abruzzo,,59.000,,750,78.67,1995-06-01,,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Abruzzerna, Montepulciano d'Abruzzo",Italien,Umani Ronchi,Enjoy Wine & Spirits AB,2013,2013,13%,FS,0,0,Montepulciano.
233901,735670,2339,Moncaro,Sangiovese,69.000,,750,92,2013-12-02,,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Abruzzerna, Terre di Chieti",Italien,Moncaro,Selezione Barbro Guaccero,2012,2012,13%,FS,0,0,85% sangiovese och 15% montepulciano.
234001,543510,2340,Bolgarello,Bianco Vermentino,79.000,,750,105.33,2011-04-01,,"Vitt vin, Friskt & Fruktigt",Flaska,Skruvkapsyl,Toscana,Italien,Poggio al Tesoro,The WineAgency Sweden AB,2013,2013,13%,FS,0,0,Vermentino.
234101,16651,2341,Vivati,Zinfandel,79.000,,750,105.33,1998-12-07,,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Apulien,Italien,Arvid Nordquist HAB,Arvid Nordquist Vin och Sprithandel,2013,2013,14%,FS,0,0,Primitivo.
234201,543530,2342,Solosole,Vermentino,169.000,,750,225.33,2011-04-01,,Vitt vin,Flaska,Naturkork,"Toscana, Bolgheri",Italien,Poggio al Tesoro,The WineAgency Sweden AB,2012,,14%,BS,0,0,Vermentino.
234301,735456,2343,Cimerio del Parco,Riserva,140.000,,750,186.67,2013-09-02,,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Marche, Rosso Conero",Italien,Moncaro Terre Cortesi,Selezione Barbro Guaccero,2010,2010,13.5%,FS,0,0,Montepulciano.
234401,15469,2344,Fantini,Farnese Sangiovese,69.000,,750,92,1998-11-02,,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Abruzzerna, Terre di Chieti",Italien,Farnese,WineWorld AB,2013,2013,12.5%,FS,1,0,Sangiovese.
234501,16864,2345,Masi,Amarone Costasera,285.000,,750,380,1999-02-01,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Masi,Philipson Soderberg AB,2010,2010,15%,FS,0,0,"70% corvina, 25% rondinella och 5% molinara."
234502,198848,2345,Masi,Amarone Costasera,150.000,,375,400,2006-04-01,,Rott vin,Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Masi,Philipson Soderberg AB,2010,2010,15%,BS,0,0,
234506,33862,2345,Masi,Amarone Costasera,599.000,,1500,399.33,2002-03-04,,"Rott vin, Kryddigt & Mustigt",Magnum,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Masi,Philipson Soderberg AB,2010,2010,15%,FS,0,0,"Corvina, rondinella, molinara"
234601,631615,2346,Dragani,Sangiovese,75.000,,750,100,2012-04-02,,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Abruzzerna, Terre di Chieti",Italien,Cantine Dragani,Giertz Vinimport AB,2012,2012,12.5%,FS,0,0,Sangiovese.
234701,733437,2347,Pizzulin,Schioppettino,139.000,,750,185.33,2013-06-01,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Friuli-Venezia-Giulia, Colli Orientali del Friuli",Italien,Pizzulin,Fondberg,2011,2011,14%,BS,0,0,
234808,719625,2348,Tommolo,,199.000,,3000,66.33,2013-03-01,,"Rott vin, Fruktigt & Smakrikt",Box,Vingtapp,"Abruzzerna, Montepulciano d'Abruzzo",Italien,Chiusa Grande,Concealed Wines AB,2013,2013,13%,FS,1,0,Montepulciano.
234901,632407,2349,Cúmaro,Conero Riserva,149.000,,750,198.67,2012-04-02,,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Marche, Rosso Conero",Italien,Umani Ronchi,Enjoy Wine & Spirits AB,,,14%,BS,0,0,
235001,850892,2350,Vinfabrikens Paronvin,,69.000,,750,92,2014-09-01,,Smaksatt vin,Flaska,Skruvkapsyl,,Sverige,Bouquet Saft & Vinjast AB,Vinfabriken Sverige AB,,,8.5%,FSN,0,0,Paron.
23501,13108,235,Gibson's,London Dry Gin,199.000,,700,284.29,1997-06-02,,Gin,Flaska,,,Storbritannien,La Martiniquaise,Bibendum,,,37.5%,FS,0,0,
23502,777183,235,Gibson's Gin,,99.000,,350,282.86,2013-08-01,,Gin,Flaska,,,Storbritannien,La Martiniquaise,Bibendum,,,37.5%,FS,0,0,
235101,643817,2351,Barbera d'Asti,Superiore Le Orme,99.000,,750,132,2012-02-07,,Rott vin,Flaska,Naturkork,"Piemonte, Barbera d'Asti",Italien,Michele Chiarlo,Philipson Soderberg AB,2011,2011,13.5%,BS,0,0,Barbera.
235201,584259,2352,Soprasasso,Amarone Della Valpolicella,159.000,,750,212,2011-05-23,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,MGM Mondo del Vino,Mondo Wine Sweden AB,2011,2011,15%,FS,0,0,Corvina samt ovriga druvsorter.
235308,645586,2353,Il Barone,Rosso,149.000,,3000,49.67,2012-02-06,,"Rott vin, Mjukt & Barigt",Box,Tryckknapp topp,,Italien,ViniMundi,The Wine Team,2013,2013,12%,FS,0,0,Huvudsakligen sangiovese samt ovriga druvsorter.
235401,662370,2354,Il Tre Fratelli,Chianti,49.000,,750,65.33,2012-05-23,,Rott vin,Flaska,Naturkork,"Toscana, Chianti",Italien,Brandpartners AB,Brandpartners AB,2011,,13%,BS,0,0,
235501,235888,2355,Valle Reale,Montepulciano d'Abruzzo,99.000,,750,132,2007-10-01,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Abruzzerna, Montepulciano d'Abruzzo",Italien,Valle Reale,The WineAgency Sweden AB,2010,2010,13.5%,FS,1,0,Montepulciano.
235601,663412,2356,R,Ripasso,109.000,,750,145.33,2012-05-07,,Rott vin,Flaska,Naturkork,"Venetien, Valpolicella, Valpolicella Superiore",Italien,Alpha Zeta,Mondo Wine Sweden AB,2011,,13.5%,BS,0,0,
235708,664108,2357,Palazzo,Mio Rosso,154.000,,3000,51.33,2012-05-04,,"Rott vin, Kryddigt & Mustigt",Box,Vingtapp,,Italien,Nordic Sea Winery,Oenoforos AB,,,12.5%,FS,0,0,"Primitivo, negro amaro, sangiovese och montepulciano."
235801,560656,2358,Pasqua Amarone della Valpolicella,,189.000,,750,252,2011-02-03,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Pasqua,Enjoy Wine & Spirits AB,2010,2010,15%,FS,0,0,"Corvina, rondinella, corvinone och negrara."
235901,671596,2359,Torre del Falasco,Ripasso,85.000,,750,113.33,2012-06-29,,Rott vin,Flaska,Naturkork,"Venetien, Valpolicella",Italien,Cantina Valpantena,Spendrups Bryggeri AB,2011,,13.5%,BS,0,0,
236001,786122,2360,The Big Zin,Zinfandel Old Vines,75.000,,750,100,2013-09-02,,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Apulien,Italien,ViniMundi,The Wine Team,2012,,13.5%,FSB,0,0,Zinfandel.
236008,673390,2360,The Big Zin,Zinfandel Old Wines,199.000,,3000,66.33,2012-06-19,,"Rott vin, Fruktigt & Smakrikt",Box,Tryckknapp topp,Apulien,Italien,ViniMundi,The Wine Team,2013,2013,13.5%,FS,0,0,Zinfandel.
23602,847829,236,Liquore di Liquirizia,Negroni,159.000,,500,318,2014-09-01,,"Likor, Kryddor och orter",Flaska,Skruvkapsyl,,Italien,Distillerie Negroni,Amka Vinimport AB,,,25%,FSN,0,0,Lakritsrot.
236101,674690,2361,AC/DC Back in Black,Shiraz,119.000,,750,158.67,2012-06-19,,Rott vin,Flaska,Skruvkapsyl,"South Australia, Barossa",Australien,Warburn Estate,Giertz Vinimport AB,2010,,13.5%,BS,0,0,
236301,674760,2363,AC/DC Thunder Struck,Chardonnay,119.000,,750,158.67,2012-06-19,,Vitt vin,Flaska,Skruvkapsyl,"New South Wales, Hilltops",Australien,Warburn Estate,Giertz Vinimport AB,2011,,13%,BS,0,0,
236501,271700,2365,Barbera d'Alba,Luigi Voghera,109.000,,750,145.33,2007-10-01,,Rott vin,Flaska,Naturkork,"Piemonte, Barbera d'Alba",Italien,Luigi Voghera,Prime Wine Sweden AB,2011,,14%,BS,0,0,
236601,650594,2366,Monti Garbi Sponsà,,91.000,,750,121.33,2012-04-16,,Rott vin,Flaska,Naturkork,"Venetien, Veronese",Italien,Tenuta Sant' Antonio,Johan Lidby Vinhandel AB,2011,,13.5%,BS,0,0,
236701,215626,2367,Farnese,Colline Teramane,99.000,,750,132,2006-10-02,,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Abruzzerna, Montepulciano d'Abruzzo Colline Teramane",Italien,Farnese,WineWorld AB,2009,2009,13.5%,FS,0,0,Montepulciano.
236801,739408,2368,Castelforte,Appassimento,79.000,,750,105.33,2013-02-28,,Rott vin,Flaska,Naturkork,Venetien,Italien,Cantine Riondo,Winepartners Nordic AB,2010,,14%,BS,0,0,
236901,325466,2369,Cafê Culture,Coffe Mocha Pinotage,79.000,,750,105.33,2008-04-01,,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Western Cape,Sydafrika,KWV,Arvid Nordquist Vin och Sprithandel,2013,2013,14%,FS,0,0,Pinotage.
237002,1692,2370,Solbacka Korsbarsvin,,39.000,,375,104,1992-07-02,,"Fruktvin, Sott",Flaska,Skruvkapsyl,,Finland,Pernod Ricard,Pernod Ricard Sweden AB,,,13%,FS,0,0,Korsbar.
237101,685457,2371,Solbacka Korsbarsvin,,66.000,1.000,750,88,2012-09-25,,"Fruktvin, Sott",PET-flaska,Skruvkapsyl,,Finland,Pernod Ricard,Pernod Ricard Sweden AB,,,13%,FS,0,0,Korsbar.
237201,760076,2372,Ricossa,Gavi,49.000,,750,65.33,2013-09-02,,"Vitt vin, Friskt & Fruktigt",Flaska,Naturkork,"Piemonte, Gavi",Italien,MGM Mondo del Vino,Mondo Wine Sweden AB,2012,,12.5%,BS,0,0,Cortese.
237301,16862,2373,Terreno,Chianti Classico,99.000,,750,132,1999-01-04,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Toscana, Chianti, Chianti Classico",Italien,Terreno,Storia Wine AB,2011,2011,13.5%,FS,0,0,"Sangiovese 90%, canaiolo 10%"
237401,760204,2374,Norma,,119.000,,750,158.67,2013-09-02,,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Sicilien, Etna",Italien,Cantine Valenti,Vinunic AB,2011,,13.5%,BS,0,0,
237701,760210,2377,Cesarini Sforza,Teroldego Rotaliano,79.000,,750,105.33,2013-09-02,,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Trentino-Alto Adige, Teroldego Rotaliano",Italien,Cesarini Sforza Spumanti SpA,Chris-Wine AB,2012,2012,13%,FS,0,0,Teroldego.
237801,856607,2378,Don Jacobo,Gran Reserva,229.000,,750,305.33,2014-09-01,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Bodegas Corral,Arvid Nordquist Vin och Sprithandel,1998,1998,13.5%,FSN,0,0,"Tempranillo, garnacha, mazuelo och graciano."
237901,675847,2379,Zeni Bardolino Superiore,Classico,99.000,,750,132,2012-10-01,,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Venetien, Bardolino, Bardolino Classico",Italien,Zeni,Handpicked Wines Sweden AB,2012,2012,13.5%,FS,0,0,"50% corvina, 30% rondinella, 10% corvinone och 10% molinara."
238001,760231,2380,Le Bertille,Rosso di Montepulciano,102.000,,750,136,2013-09-02,,"Rott vin, Kryddigt & Mustigt",Flaska,Plastkork/syntetkork,"Toscana, Rosso di Montepulciano",Italien,Le Bertille,Vinlusen AB,2012,2012,13.5%,FS,0,0,"Sangiovese, colorino, mammolo och ciliegiolo."
238401,737780,2384,Lupi Reali,,69.000,,750,92,2013-04-02,,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,"Abruzzerna, Montepulciano d'Abruzzo",Italien,Enoitalia,The WineAgency Sweden AB,2013,2013,12.5%,FS,1,0,Montepulciano.
238601,21955,2386,Masi,Modello delle Venezie,79.000,,750,105.33,2000-04-03,,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Venetien, Delle Venezie",Italien,Masi,Philipson Soderberg AB,2012,2012,12%,FS,0,0,Refosco och raboso samt ovriga druvsorter.
238608,536753,2386,Masi,Modello delle Venezie,255.000,,3000,85,2010-11-01,,"Rott vin, Mjukt & Barigt",Box,Vingtapp,"Venetien, Delle Venezie",Italien,Masi,Philipson Soderberg AB,2012,2012,12%,FS,0,0,Refosco och raboso samt ovriga druvsorter.
238707,826914,2387,Vernissage,Chardonnay Viognier,139.000,,1500,92.67,2014-03-01,,"Vitt vin, Friskt & Fruktigt",Box,Tryckknapp front,"Languedoc-Roussillon, VdP d'Oc",Frankrike,Oenoforos AB,Oenoforos AB,2013,2013,13%,FS,0,0,Chardonnay och viognier.
238801,712033,2388,Zenato,Veneto Rosso Parziale Appasimento,103.000,,750,137.33,2012-11-23,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Venetien,Italien,Zenato,Hjo Grosshandel AB,2012,2012,13.5%,FSB,0,0,
238908,823006,2389,Org de Rac,Shiraz Cabernet Sauvignon Merlot,219.000,,3000,73,2014-06-02,,"Rott vin, Fruktigt & Smakrikt",Box,Tryckknapp topp,Western Cape,Sydafrika,Org de Rac,Vinia Sweden AB,2013,2013,14%,FS,1,0,"Shiraz, cabernet sauvignon och merlot."
239101,832801,2391,Collevite,Falerio Pecorino,69.000,,750,92,2014-06-02,,"Vitt vin, Friskt & Fruktigt",Flaska,Skruvkapsyl,"Marche, Falerio",Italien,Collevite,Ward Wines AB,2013,2013,13%,FS,1,0,Pecorino.
239201,659175,2392,Piccini,Memoro,89.000,,750,118.67,2012-05-07,,Rott vin,Flaska,Naturkork,,Italien,Gestioni Piccini,Enjoy Wine & Spirits AB,,,14%,BS,0,0,
239301,300131,2393,Musella,Valpolicella Superiore,99.000,,750,132,2008-04-01,,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,"Venetien, Valpolicella",Italien,Musella,Enjoy Wine & Spirits AB,2012,2012,13%,FS,0,0,"70% corvina och corvinone, 20% rondinella och 10% barbera."
239701,676268,2397,Vigna Pedale,Riserva,119.000,,750,158.67,2012-10-01,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Apulien, Castel del Monte",Italien,Torrevento,Enoterra AB,2009,2009,13%,FS,0,0,Nero di troia.
239801,676892,2398,Barolo Albe,G.D. Vajra,204.000,,750,272,2012-10-01,,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Piemonte, Barolo",Italien,G.D. Vajra,Moestue Grape Selections AB,2009,2009,14.5%,FS,0,0,Nebbiolo.
240001,814142,2400,Manzoni,Bianco,79.000,,750,105.33,2014-03-01,,"Vitt vin, Fylligt & Smakrikt",Flaska,Skruvkapsyl,Venetien,Italien,Cantina La Salute,Modern Wines Sweden AB,2013,2013,12.5%,FS,0,0,Manzoni bianco.
240104,400182,2401,Frisante,Sangria,24.000,,275,87.27,2009-10-01,,Smaksatt vin,Flaska,Skruvkapsyl,,Spanien,Celler Sort del Castell,Miguel Torres,,,8.5%,FS,0,0,"Rott vin, socker och fruktextrakt."
240201,812457,2402,Château Plince,,299.000,,750,398.67,2014-03-01,,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Bordeaux, Pomerol",Frankrike,,Hjo Grosshandel AB,2011,2011,13%,FS,0,0,"Egendomen ar planterad med 72% merlot, 23% cabernet franc och 5% cabernet sauvignon."
240301,839662,2403,Domaine Lafage,Centenaire,92.000,,750,122.67,2014-06-02,,"Vitt vin, Fylligt & Smakrikt",Flaska,Naturkork,"Languedoc-Roussillon, Côtes du Roussillon",Frankrike,Domaine Lafage,Sundance Wines AB,2013,,13%,FS,0,0,"50% grenache blanc, 30% grenache gris och 20% roussanne."
240401,7880,2404,Orvieto,Amabile,59.000,,750,78.67,1995-06-01,,"Vitt vin, Latt & Avrundat",Flaska,Naturkork,"Umbrien, Orvieto",Italien,Bigi,Enjoy Wine & Spirits AB,2013,2013,12%,FS,0,0,
240601,759276,2406,Notre Dame de Cousignac,Ventoux,72.000,,750,96,2013-09-02,,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Rhonedalen, Ventoux",Frankrike,Notre Dame de Cousignac,Spendrups Bryggeri AB,2013,2013,13.5%,FS,1,0,70% grenache och 30% syrah.
240701,871165,2407,Givry Premier Cru Clos Charlé,Domaine Mouton,199.000,,750,265.33,2014-12-01,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Bourgogne, Côte Chalonnaise, Givry",Frankrike,Domaine Mouton,Concealed Wines AB,2012,2012,13.5%,FSN,0,0,Pinot noir.
240801,734906,2408,Zenato,Pinot Grigio,119.000,,750,158.67,2013-03-18,,"Vitt vin, Friskt & Fruktigt",Flaska,Naturkork,Venetien,Italien,Zenato,Hjo Grosshandel AB,2012,2012,12.5%,BS,0,0,Pinot grigio.
240901,871182,2409,Château Moulin Caresse,,89.000,,750,118.67,2014-12-01,,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Frankrike sydvast, Bergerac",Frankrike,Château Moulin Caresse,People Wine AB,2011,2011,13.5%,FSN,0,0,"Merlot, cabernet franc, cabernet sauvignon och malbec."
241001,1721,2410,Fontana Candida,Frascati,69.000,,750,92,1955-09-01,,"Vitt vin, Latt & Avrundat",Flaska,Naturkork,"Latium, Frascati",Italien,Fontana Candida,Philipson Soderberg AB,2013,2013,12.5%,FS,0,0,"50% trebbiano toscano, 30% malvasia di candia och 20% malvasia del lazio."
241002,1722,2410,Fontana Candida,Frascati,39.000,,375,104,1994-01-01,,"Vitt vin, Latt & Avrundat",Flaska,Naturkork,"Latium, Frascati",Italien,Fontana Candida,Philipson Soderberg AB,2013,2013,12%,FS,0,0,"50% trebbiano toscano, 30% malvasia di candia och 20% malvasia del lazio."
241006,351112,2410,Fontana Candida,Frascati,119.000,,1500,79.33,2008-10-01,,"Vitt vin, Latt & Avrundat",Magnum,Naturkork,"Latium, Frascati",Italien,Fontana Candida,Philipson Soderberg AB,2013,2013,12.5%,FS,0,0,"50% trebbiano toscano, 30% malvasia di candia och 20% malvasia del lazio."
24102,14022,241,Gronstedts Extra,,409.000,,500,818,1997-10-06,,Cognac,Flaska,,Cognac,Frankrike,Altia,Altia Sweden AB,,,40%,FS,0,0,
241401,831407,2414,Tr3 Apor,Oves Vita,65.000,,750,86.67,2014-09-01,,"Vitt vin, Druvigt & Blommigt",Flaska,Skruvkapsyl,,Ungern,Enjoy Wine & Spirits,Enjoy Wine & Spirits AB,2013,2013,11.5%,FSN,0,0,Riesling och gewürztraminer.
241501,216593,2415,Masi Masianco,Pinot Grigio Verduzzo,95.000,,750,126.67,2006-10-02,,"Vitt vin, Friskt & Fruktigt",Flaska,Skruvkapsyl,"Venetien, Delle Venezie",Italien,Masi,Philipson Soderberg AB,2013,2013,13%,FS,0,0,75% pinot grigio och 25% verduzzo.
241901,1731,2419,Serego Alighieri Vaio Armaron,Amarone,395.000,,750,526.67,1994-02-14,,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Masi,Philipson Soderberg AB,2007,2007,15.5%,FS,0,0,"Corvina 60%, rondinella 20%, molinara 15%, dindarella 5%"
24202,14023,242,Gronstedts XO,,359.000,,500,718,1997-10-06,,Cognac,Flaska,,Cognac,Frankrike,Altia,Altia Sweden AB,,,40%,FS,0,0,
242301,23251,2423,Varm & Kall,appelvin,44.000,,750,58.67,2000-05-08,,Smaksatt vin,Papp,,"Skane lan, Simrishamns kommun",Sverige,Kiviks Musteri AB,Kiviks Musteri AB,,,7%,FS,0,0,
242401,429888,2424,Don Simon,Sangría,66.000,1.000,1000,66,2010-03-24,,Smaksatt vin,PET-flaska,Skruvkapsyl,,Spanien,J García Carrión,Prime Wine Sweden AB,,,11%,FS,0,0,"Rodvin, vatten, socker, citronsyra, frukt och kanel."
242408,685596,2424,Don Simon,Sangria,179.000,,3000,59.67,2012-07-16,,Smaksatt vin,Box,Vingtapp,,Spanien,Grupo de Bodegas Vinartis,Prime Wine Sweden AB,,,11%,FS,0,0,
242601,687173,2426,Roodeberg,Rosé,82.000,,750,109.33,2012-07-20,,Rosévin,Flaska,Skruvkapsyl,Western Cape,Sydafrika,KWV,Arvid Nordquist Vin och Sprithandel,2013,,13%,BS,0,0,
242708,166238,2427,Viña Albali,Barrel Aged,159.000,,3000,53,2005-10-01,,Rott vin,Box,Vingtapp,Valdepeñas,Spanien,Felix Solis,Martin & Servera Aktiebolag,2013,,13%,BS,0,0,
243001,165487,2430,Chablis,Jean de Chaudenay,129.000,,750,172,2005-10-01,,"Vitt vin, Friskt & Fruktigt",Flaska,Skruvkapsyl,"Bourgogne, Chablis",Frankrike,Jean de Chaudenay,Quid Vis Vin AB,2012,2012,12.5%,FS,0,0,Chardonnay.
243002,690344,2430,Chablis,Jean de Chaudenay,70.000,,375,186.67,2012-10-01,,Vitt vin,Flaska,Skruvkapsyl,"Bourgogne, Chablis",Frankrike,Jean de Chaudenay,Quid Vis Vin AB,2010,,12.5%,BS,0,0,
243101,864416,2431,Lourensford Reserve,Cabernet Sauvignon Merlot,129.000,,750,172,2014-12-01,,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Western Cape, Coastal Region, Stellenbosch",Sydafrika,Lourensford,Modern Wines Sweden AB,2013,2013,14%,FSN,0,0,"50% cabernet sauvignon, 36% merlot och 14% shiraz."
243801,1748,2438,Jacob's Creek,Dry Riesling,75.000,,750,100,1989-06-01,,"Vitt vin, Friskt & Fruktigt",Flaska,Skruvkapsyl,South Eastern Australia,Australien,Orlando,Pernod Ricard Sweden AB,2013,2013,11.5%,FS,0,0,Riesling.
243901,759354,2439,Langhe A Mont,Nebbiolo,169.000,,750,225.33,2013-09-02,,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Piemonte, Langhe",Italien,Paolo Conterno,Gullberg by Stockwine AB,2012,2012,14%,FS,0,0,Nebbiolo.
244001,675019,2440,Le Verdier,,89.000,,750,118.67,2012-10-01,,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,"Rhonedalen, Côtes du Rhône, Côtes-du-Rhône-Villages, Côtes-du-Rhône-Villages Cairanne",Frankrike,Providential Wines & Spirits AB,Providential Wines & Spirits AB,2012,2012,14%,FS,0,0,"50% grenache, 30% syrah, 10% cinsault och 10% mourvèdre."
244801,807484,2448,Cono Sur,Bicicleta Pinot Grigio,71.000,,750,94.67,2014-09-01,,"Vitt vin, Friskt & Fruktigt",Flaska,Skruvkapsyl,Valle Central,Chile,Cono Sur Winery,Spendrups Bryggeri AB,2013,2013,14%,FSN,0,0,Pinot grigio.
24502,14131,245,Calvados Pays d'Auge,Réserve,239.000,,500,478,1997-11-17,,Calvados,Flaska,,"Normandie, Calvados, Calvados du Pays d'Auge",Frankrike,Roger Groult,Hjo Grosshandel AB,,,40%,FS,0,0,
245901,1767,2459,Torres Gran Viña Sol,Chardonnay,76.000,,750,101.33,1990-11-01,,"Vitt vin, Friskt & Fruktigt",Flaska,Skruvkapsyl,Penedès,Spanien,Miguel Torres,Miguel Torres,2013,2013,13.5%,FS,0,0,Chardonnay.
246901,807497,2469,Les Pious,Côtes du Rhône,89.000,1.000,750,118.67,2014-03-01,,"Rott vin, Fruktigt & Smakrikt",PET-flaska,Skruvkapsyl,"Rhonedalen, Côtes du Rhône",Frankrike,REMI POUIZIN,Vinia Sweden AB,2012,2012,13.5%,FS,1,0,Grenache och syrah.
24701,14167,247,Château du Breuil,Calvados VSOP,329.000,,700,470,1997-12-15,,Calvados,Flaska,,"Normandie, Calvados, Calvados du Pays d'Auge",Frankrike,Château du Breuil,Stellan Kramer AB,,,40%,FS,0,0,
