nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning
143312,507779,1433,Falcon Export,,12.900,1.000,500,25.8,2011-09-26,,"ol, Ljus lager",Burk,,"Hallands lan, Falkenbergs kommun",Sverige,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5.2%,FS,0,0,Kormalt och humle.
143315,507758,1433,Falcon Export,,9.900,1.000,330,30,2011-09-29,,"ol, Ljus lager",Burk,,"Hallands lan, Falkenbergs kommun",Sverige,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5.2%,FS,0,0,Kormalt och humle.
143403,370576,1434,Grebbestad,Lager,18.300,,330,55.45,2009-04-01,,"ol, Ljus lager",Flaska,,"Vastra Gotalands lan, Tanums kommun",Sverige,Grebbestads Bryggeri,Grebbestad Bryggeri AB,,,5%,FSB,0,0,Kornmalt och humle.
143501,399315,1435,Carlsberg Export,,16.400,1.000,500,32.8,2009-10-01,,"ol, Ljus lager",PET-flaska,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5%,FS,0,0,Kornmalt och humle.
143503,53090,1435,Carlsberg Export,,13.900,,330,42.12,2005-04-01,,"ol, Ljus lager",Flaska,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5%,FS,0,0,Kornmalt och humle.
143509,197945,1435,Carlsberg Export,,174.900,,5000,34.98,2006-04-01,,"ol, Ljus lager",Engangsfat,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5%,FS,0,0,Kornmalt och humle.
143512,507830,1435,Carlsberg Export,,14.900,1.000,500,29.8,2011-10-12,,"ol, Ljus lager",Burk,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5%,FS,0,0,
143603,876942,1436,Vlaamsche Zotten,,16.900,,330,51.21,2014-12-01,,"ol, Veteol",Flaska,,,Belgien,Brouwerij Sint Jozef,Servaali Sweden AB,,,5%,FSN,0,0,"Vetemalt, kornmalt och humle."
143703,790673,1437,Anderssons,,11.900,,330,36.06,2013-12-02,,"ol, Ljus lager",Flaska,,,Sverige,Hellefors Bryggeri,Anderssons ol AB,,,5.2%,BS,0,0,
144103,825539,1441,Camden,Pale Ale,17.900,,330,54.24,2014-06-02,,"ol, Ale",Flaska,,England,Storbritannien,Camden Town Brewery,AB Wicked Wine Sweden,,,4%,FS,0,0,"Vete-, cara-, pale ale- och munichmalt samt humle av sorterna cascade, columbus, amarillo, centennial, simcoe och citra."
144203,576129,1442,Oppigards Amarillo,,19.900,,330,60.3,2011-05-30,,"ol, Ale",Flaska,,"Dalarnas lan, Hedemora kommun",Sverige,Oppigards Bryggeri AB,Oppigards Bryggeri AB,,,5.9%,FS,0,0,Kornmalt och humle av sorten amarillo.
144303,741579,1443,Electric Nurse,Pale Ale,20.900,,330,63.33,2013-06-01,,"ol, Ale",Flaska,,,Sverige,Dugges Ale- & Porterbryggeri,Brewtrade Sweden AB,,,4.6%,FS,0,0,Kornmalt och humle.
144412,508206,1444,abro Lejon,,9.900,1.000,330,30,2011-10-20,,"ol, Ljus lager",Burk,,"Kalmar lan, Vimmerby kommun",Sverige,abro Bryggeri,abro Bryggeri,,,5.9%,FS,0,0,Kornmalt och humle.
144512,508311,1445,Bryggmastarens Premium Guld,,13.500,1.000,500,27,2011-10-27,,"ol, Ljus lager",Burk,,"Kalmar lan, Vimmerby kommun",Sverige,abro Bryggeri,abro Bryggeri,,,5.7%,FS,0,0,Kornmalt och humle.
144612,508314,1446,Kung,,10.400,1.000,500,20.8,2011-10-28,,"ol, Ljus lager",Burk,,"Kalmar lan, Vimmerby kommun",Sverige,abro Bryggeri,abro Bryggeri,,,5.2%,FS,0,0,Kornmalt och humle.
144703,240950,1447,Spendrups Bright,,11.200,,330,33.94,2007-04-02,,"ol, Ljus lager",Flaska,,"Dalarnas lan, Ludvika kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,5%,BS,0,0,
144712,507965,1447,Spendrups Bright,,13.100,1.000,500,26.2,2011-11-14,,"ol, Ljus lager",Burk,,"Dalarnas lan, Ludvika kommun",Sverige,Spendrups,Spendrups Bryggeri AB,,,5%,FS,0,0,Kornmalt och humle.
144801,741523,1448,Tuborg Gold,,15.900,1.000,500,31.8,2013-06-01,,"ol, Ljus lager",PET-flaska,,,Internationellt marke,Carlsberg Sverige AB,Carlsberg Sverige AB,,,5.3%,FS,0,0,Kornmalt och humle.
