"","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score"
"2396",528301,48209,5283,"Couvent des Jacobins","Bourgogne Rouge",125,NA,750,166.67,"2004-06-07",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Bourgogne","Frankrike","Louis Jadot","Vinunic AB",2011,2011,"12.5%","FS",0,0,"Pinot noir.","5 ","5 ","10","Pinot,noir","Kryddig.smak.inslag.jordgubbar.muskot.lingon ","Kryddig.doft.inslag.jordgubbar.muskot.lingon",99
"2402",531801,191594,5318,"Château Prat-Majou-Gay","Vieilles Vignes",49,NA,750,65.33,"2006-04-01",NA,"Rott vin","Flaska","Naturkork","Languedoc-Roussillon, Minervois","Frankrike","Château Prat-Majou-Gay","Winepartners Nordic AB",2009,2009,"13%","BS",0,0,"40% syrah, 30% carignan och 30% mourvèdre.","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2405",532701,206341,5327,"Christian Moueix","Saint-Emilion",139,NA,750,185.33,"2006-04-18",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Bordeaux, Saint-Emilion","Frankrike","Jean Pierre Moueix","Hjo Grosshandel AB",2010,2010,"14%","FS",0,0,"Huvudsakligen merlot.","9 ","8 ","9 ","Huvudsakligen,merlot","Fruktig.något.stram.smak.fatkaraktär.inslag.svarta.vinbär.plommon.örter.kakao ","Fruktig.nyanserad.doft.fatkaraktär.inslag.svarta.vinbär.körsbär.ceder.choklad",99
"2406",532801,215598,5328,"Monti Garbi","Ripasso",105,NA,750,140,"2006-10-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella","Italien","Tenuta Sant' Antonio","Johan Lidby Vinhandel AB",2012,2012,"14%","FS",0,0,"Corvina, rondinella samt ovriga druvsorter.","8 ","8 ","9 ","70%,corvina,20%,rondinella,och,10%,oseleta","Kryddig.något.utvecklad.smak.inslag.torkade.körsbär.vanilj.jordgubbar.kanel ","Kryddig.något.utvecklad.doft.inslag.torkade.körsbär.kanel.jordgubbar.vanilj",99
"2407",532802,601657,5328,"Monti Garbi","Ripasso",59,NA,375,157.33,"2011-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella","Italien","Tenuta Sant' Antonio","Johan Lidby Vinhandel AB",2012,2012,"14%","FS",0,0,"70% corvina, 20% rondinella och 10% oseleta.","8 ","8 ","9 ","70%,corvina,20%,rondinella,och,10%,oseleta","Kryddig.något.utvecklad.smak.inslag.torkade.körsbär.vanilj.jordgubbar.kanel ","Kryddig.något.utvecklad.doft.inslag.torkade.körsbär.kanel.jordgubbar.vanilj",99
"2408",532902,215608,5329,"Delitia","Recioto della Valpolicella Classico",99,NA,375,264,"2006-10-02",NA,"Rott vin, Sott","Flaska","Naturkork","Venetien, Valpolicella, Recioto della Valpolicella, Recioto della Valpolicella Classico","Italien","Luigi Righetti","janake wine group AB",2011,2011,"12.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2409",533101,251949,5331,"Picàie","",135,NA,750,180,"2007-02-27",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Veronese","Italien","Cecilia Beretta","Enjoy Wine & Spirits AB",NA,NA,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"2411",533301,366516,5333,"Cape Heights","Cabernet Merlot Shiraz",59,NA,1000,59,"2009-04-01",NA,"Rott vin, Mjukt & Barigt","Papp","","Western Cape","Sydafrika","Boutinot South Africa","Mondo Wine Sweden AB",2013,2013,"14%","FS",0,0,"70% cabernet sauvignon, 20% merlot och 10% shiraz.","5 ","5 ","9 ","70%,cabernet,sauvignon,20%,merlot,och,10%,shiraz","Bärig.smak.inslag.svarta.vinbär.blåbär.lakrits.gräs ","Bärig.doft.inslag.svarta.vinbär.blåbär.örter",99
"2413",533701,398730,5337,"Barbaresco","",169,NA,750,225.33,"2009-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Piemonte, Barbaresco","Italien","Livio Pavese","BGS Wine Import",2009,2009,"14%","FS",0,0,"Nebbiolo.","9 ","9 ","9 ","Nebbiolo","Kryddig.nyanserad.smak.inslag.torkad.frukt.körsbär.lakrits.tobak.salvia.kanel ","Kryddig.något.animalisk.doft.inslag.torkade.körsbär.nypon.tobak.lakrits.rosor",99
"2419",535201,579549,5352,"Castelforte","Ripasso",84,NA,750,112,"2011-04-27",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella","Italien","Cantine Riondo","Winepartners Nordic AB",2012,2012,"14%","FS",0,0,"70% corvina, 20% rondinella, 5% molinara samt 5% ovriga druvsorter.","8 ","8 ","9 ","70%,corvina,20%,rondinella,molinara,samt,övriga,druvsorter","Kryddig.smak.inslag.korinter.körsbärspraliner.kanel ","Kryddig.doft.inslag.körsbär.korinter.mintchoklad.tobak",99
"2420",535206,677882,5352,"Castelforte","Ripasso",159,NA,1500,106,"2012-07-02",NA,"Rott vin, Kryddigt & Mustigt","Magnum","Naturkork","Venetien, Valpolicella","Italien","Cantine Riondo","Winepartners Nordic AB",2012,2012,"13.5%","FS",0,0,"Corvina, rondinella, molinara och negrara.","8 ","8 ","9 ","70%,corvina,20%,rondinella,molinara,samt,övriga,druvsorter","Kryddig.smak.inslag.korinter.körsbärspraliner.kanel ","Kryddig.doft.inslag.körsbär.korinter.mintchoklad.tobak",99
