"","nr","Artikelid","Varnummer","Namn","Namn2","Prisinklmoms","Pant","Volymiml","PrisPerLiter","Saljstart","Slutlev","Varugrupp","Forpackning","Forslutning","Ursprung","Ursprunglandnamn","Producent","Leverantor","Argang","Provadargang","Alkoholhalt","Sortiment","Ekologisk","Koscher","RavarorBeskrivning","fyllighet","stravhet","fruktsyra","druva","smak","doft","real_score"
"1265",209401,800578,2094,"The Apprentice","Shiraz Mourvedre Grenache",89,NA,750,118.67,"2014-03-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape","Sydafrika","Home of Origin Wine","Sundance Wines AB",2014,2014,"14.5%","FS",0,0,"57% shiraz, 41% mourvèdre och 2% grenache.","8 ","9 ","9 ","57%,shiraz,41%,mourvèdre,och,grenache","Fruktig.kryddig.smak.inslag.björnbär.hallon.lakrits.kaffe.vanilj ","Fruktig.kryddig.doft.inslag.björnbär.hallon.mynta.kaffe.vanilj",99
"1266",209501,585316,2095,"Rhebokskloof","Cabernet Sauvignon Merlot Petit Verdot",99,NA,750,132,"2011-10-01",NA,"Rott vin","Flaska","Naturkork","Western Cape, Coastal Region, Paarl","Sydafrika","Rhebokskloof Estate","Gullberg by Stockwine AB",2010,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1267",209601,776395,2096,"Santa Ana Homage","Cabernet Sauvignon Tannat",69,NA,750,92,"2013-12-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Cuyo, Mendoza","Argentina","Bodegas Santa Ana","Chris-Wine AB",2012,2012,"13.5%","FS",0,0,"Cabernet sauvignon och tannat.","8 ","8 ","9 ","Cabernet,sauvignon,och,tannat","Mycket.fruktig.ungdomlig.smak.inslag.körsbär.svarta.vinbär.kakao.örter.vanilj ","Mycket.fruktig.ungdomlig.doft.inslag.körsbär.svarta.vinbär.örter.vanilj",99
"1268",209701,548456,2097,"Campos Góticos","Tempranillo",89,NA,750,118.67,"2011-04-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Ribera del Duero","Spanien","Campos Góticos","Stellan Kramer AB",2010,2010,"14.5%","FS",1,0,"Tempranillo.","9 ","9 ","9 ","Tempranillo","Fruktig.kryddig.smak.fatkaraktär.inslag.mörka.körsbär.lagerblad.plommon.örter.kakao ","Fruktig.aningen.kryddig.doft.fatkaraktär.inslag.mörka.körsbär.lagerblad.choklad.muskot.vanilj",99
"1269",209702,548499,2097,"Campos Góticos","Tempranillo",49,NA,375,130.67,"2011-04-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Ribera del Duero","Spanien","Campos Góticos","Stellan Kramer AB",2010,2010,"14.5%","FS",1,0,"Tempranillo.","9 ","9 ","9 ","Tempranillo","Fruktig.kryddig.smak.fatkaraktär.inslag.mörka.körsbär.lagerblad.plommon.örter.kakao ","Fruktig.aningen.kryddig.doft.fatkaraktär.inslag.mörka.körsbär.lagerblad.choklad.muskot.vanilj",99
"1270",209801,775985,2098,"Korta Barrel Selection Reserva","Cabernet Sauvignon",86,NA,750,114.67,"2013-12-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Maule, Valle de Curicó, Lontué","Chile","Bodegas y Viñedos Korta","Haugen-Gruppen AB",2011,2011,"14%","FS",0,0,"Cabernet sauvignon.","9 ","9 ","9 ","Cabernet,sauvignon","Fruktigt.smakrikt.fatkaraktär.inslag.plommon.svarta.vinbär.mörk.choklad.tobak.kaffe ","Fruktig.doft.fatkaraktär.inslag.plommon.svarta.vinbär.mörk.choklad.tobak.lakrits",99
"1271",209901,9692,2099,"Robertson","Cabernet Sauvignon",69,NA,750,92,"1996-04-01",NA,"Rott vin","Flaska","Skruvkapsyl","Western Cape, Breede River Valley, Robertson","Sydafrika","Robertson Winery","Prime Wine Sweden AB",2013,2013,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1272",209908,48486,2099,"Robertson","Cabernet Sauvignon",199,NA,3000,66.33,"2004-06-07",NA,"Rott vin, Fruktigt & Smakrikt","Box","Vridtapp","Western Cape","Sydafrika","Robertson Winery","Prime Wine Sweden AB",2013,2013,"13%","FS",0,0,"Cabernet sauvignon.","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1275",210401,719412,2104,"Bourgogne Côtes d'Auxerre","P-L & J-F Bersan",149,NA,750,198.67,"2013-03-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Bourgogne","Frankrike","P-L & J-F Bersan","Concealed Wines AB",NA,NA,"13%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1281",210901,718217,2109,"Casa Vinironia","Appassimento Edizione Oro",82,NA,750,109.33,"2012-11-30",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Plastkork/syntetkork","","Italien","Casa Vinironia","Giertz Vinimport AB",2013,2013,"14.5%","FS",0,0,"50% negroamaro, 20% merlot, 20% primitivo och 10% malvasia nera.","9 ","8 ","9 ","50%,negroamaro,20%,merlot,20%,primitivo,och,10%,malvasia,nera","Kryddig.smak.inslag.katrinplommon.salvia.choklad.lakrits ","Kryddig.doft.inslag.katrinplommon.salvia.choklad",99
"1282",210908,724689,2109,"Casa Vinironia","Appassimento Edizione Oro",199,NA,3000,66.33,"2013-01-09",NA,"Rott vin, Kryddigt & Mustigt","Box","Vingtapp","","Italien","Casa Vinironia","Giertz Vinimport AB",2013,2013,"14.5%","FS",0,0,"50% negroamaro, 20% merlot, 20% primitivo och 10% malvasia nera.","9 ","8 ","9 ","50%,negroamaro,20%,merlot,20%,primitivo,och,10%,malvasia,nera","Kryddig.smak.inslag.katrinplommon.salvia.choklad.lakrits ","Kryddig.doft.inslag.katrinplommon.salvia.choklad",99
"1284",211101,869120,2111,"Finca La Escondida Reserve","Malbec Torrontés",70,NA,750,93.33,"2014-12-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","","Argentina","Bodegas La Rosa","Sigva AB",2013,2013,"13.5%","FSN",0,0,"90% malbec och 10% torrontés.","8 ","8 ","9 ","90%,malbec,och,10%,torrontés","Fruktig.smak.inslag.svarta.vinbär.blåbär.viol.salvia.kanel.lakrits.peppar.vanilj ","Fruktig.doft.inslag.svarta.vinbär.blåbär.viol.salvia.kanel.lakrits.vanilj",99
"1294",212301,790639,2123,"Columbia Crest H3","Cabernet Sauvignon",129,NA,750,172,"2013-12-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Washington State, Horse Heaven Hills","USA","Columbia Crest Winery","Vinunic AB",2011,2011,"14%","FS",0,0,"97% cabernet sauvignon, 2% merlot och 1% cabernet franc.","9 ","8 ","9 ","97%,cabernet,sauvignon,merlot,och,cabernet,franc","Mycket.fruktig.smak.rostad.fatkaraktär.inslag.mörka.plommon.mjölkchoklad.örter.vanilj ","Mycket.fruktig.doft.rostad.fatkaraktär.inslag.svarta.vinbär.vanilj.mynta.plommon.kokos",99
"1295",212401,714145,2124,"Montmija La Chapelle","GSM",69,NA,750,92,"2013-03-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Languedoc-Roussillon, Pays d'Oc","Frankrike","Les Domaines Auriol","Giertz Vinimport AB",2013,2013,"14%","FS",1,0,"65% grenache, 30% syrah och 5% mourvèdre.","8 ","7 ","9 ","65%,grenache,30%,syrah,och,mourvèdre","Ungdomlig.fruktig.örtig.smak.inslag.hallon.blåbär.lakrits.lagerblad ","Ungdomlig.fruktig.doft.inslag.hallon.blåbär.vanilj.basilika",99
"1297",212601,368182,2126,"Vedré","",99,NA,750,132,"2009-04-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Plastkork/syntetkork","Jumilla","Spanien","Bodegas Carchelo","Intermondi AB",2011,2011,"14.5%","FS",0,0,"50% monastrell, 25% syrah och 25% tempranillo.","10","9 ","9 ","50%,monastrell,25%,syrah,och,25%,tempranillo","Mycket.fruktig.kryddig.smak.rostad.fatkaraktär.inslag.katrinplommon.örter.mörka.körsbär.kakao.kokos ","Mycket.fruktig.kryddig.nyanserad.doft.rostad.fatkaraktär.inslag.katrinplommon.mynta.kokos.kakao",99
"1298",212701,508869,2127,"Novas Winemaker's Selection","Syrah Mourvedre",134,NA,750,178.67,"2010-10-01",NA,"Rott vin","Flaska","Naturkork","Rapel, Colchagua","Chile","Viñedos Emiliana","Concha y Toro Sweden AB",2010,NA,"14.5%","BS",1,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1300",212901,503391,2129,"Lionheart of the Barossa","Shiraz",109,NA,750,145.33,"2010-10-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Australia, Barossa","Australien","Dandelion Vineyards","The Wine Team",2011,2011,"14.5%","FS",0,0,"Shiraz.","10","9 ","9 ","Shiraz","Smakrikt.mycket.fruktigt.fatkaraktär.inslag.björnbär.plommon.peppar.lakrits.örter.hallon ","Nyanserad.mycket.fruktig.doft.fatkaraktär.inslag.björnbär.eukalyptus.plommon.peppar.mjölkchoklad",99
"1301",212902,503399,2129,"Lionheart of the Barossa","Shiraz",58,NA,375,154.67,"2010-10-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Australia, Barossa","Australien","Dandelion Vineyards","The Wine Team",2011,2011,"14.5%","FS",0,0,"Shiraz.","10","9 ","9 ","Shiraz","Smakrikt.mycket.fruktigt.fatkaraktär.inslag.björnbär.plommon.peppar.lakrits.örter.hallon ","Nyanserad.mycket.fruktig.doft.fatkaraktär.inslag.björnbär.eukalyptus.plommon.peppar.mjölkchoklad",99
"1302",212906,503394,2129,"Lionheart of the Barossa","Shiraz",215,NA,1500,143.33,"2010-10-01",NA,"Rott vin, Fruktigt & Smakrikt","Magnum","Skruvkapsyl","South Australia, Barossa","Australien","Dandelion Vineyards","The Wine Team",2011,2011,"14.5%","FS",0,0,"Shiraz.","10","9 ","9 ","Shiraz","Smakrikt.mycket.fruktigt.fatkaraktär.inslag.björnbär.plommon.peppar.lakrits.örter.hallon ","Nyanserad.mycket.fruktig.doft.fatkaraktär.inslag.björnbär.eukalyptus.plommon.peppar.mjölkchoklad",99
"1303",213008,518144,2130,"Casas Patronales","Carmenère Cabernet Sauvignon Syrah",179,NA,3000,59.67,"2010-08-02",NA,"Rott vin, Fruktigt & Smakrikt","Box","Tryckknapp topp","Valle Central","Chile","Casas Patronales","Prime Wine Sweden AB",2013,2013,"13.5%","FS",0,0,"Carmenère, cabernet sauvignon och syrah.","8 ","7 ","9 ","Carmenère,cabernet,sauvignon,och,syrah","Mycket.fruktig.smak.inslag.mörka.färska.örter.lakrits ","Mycket.fruktig.aningen.bränd.doft.inslag.mörka.kaffe.lakrits.viol",99
"1305",213301,641894,2133,"Tommasi Palanca","Ripasso",149,NA,750,198.67,"2012-01-30",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Venetien, Valpolicella, Valpolicella Superiore","Italien","Tommasi Viticoltori","Hermansson & Co AB",2012,2012,"13%","FS",0,0,"","9 ","8 ","9 ","Ingen anged","Kryddig.smak.inslag.mörka.körsbär.russin.peppar.choklad ","Kryddig.doft.inslag.körsbär.korinter.salvia.choklad",99
"1306",213401,508880,2134,"Vistamar Sepia","Reserva Syrah",59,1,750,78.67,"2010-10-01",NA,"Rott vin, Fruktigt & Smakrikt","PET-flaska","Skruvkapsyl","Maule","Chile","Viña Vistamar","Apricot AB",2013,2013,"14.5%","FS",0,0,"85% syrah och 15% cabernet sauvignon.","7 ","7 ","9 ","85%,syrah,och,15%,cabernet,sauvignon","Mycket.fruktig.smak.inslag.björnbär.svarta.vinbär.viol.lakrits ","Mycket.fruktig.doft.inslag.björnbär.svarta.vinbär.peppar",99
"1308",213701,825717,2137,"Oinoz","",89,NA,750,118.67,"2014-06-02",NA,"Rott vin, Stramt & Nyanserat","Flaska","Naturkork","Toro","Spanien","Agricultura y Bodega Renacimiento SL","Amka Vinimport AB",2012,2012,"14.5%","FS",1,0,"Tempranillo.","9 ","9 ","9 ","Tempranillo","Fruktig.något.utvecklad.smak.fatkaraktär.inslag.katrinplommon.torkade.körsbär.choklad.vanilj.lakrits ","Fruktig.något.utvecklad.doft.fatkaraktär.inslag.katrinplommon.torkade.körsbär.choklad.vanilj.örter",99
"1309",213801,693297,2138,"Lasse Stefanz","Valpolicella Classico",99,NA,750,132,"2012-08-27",NA,"Rott vin, Mjukt & Barigt","Flaska","Naturkork","Venetien, Valpolicella, Valpolicella Classico","Italien","Luigi Righetti","janake wine group AB",2013,2013,"12.5%","FS",0,0,"","5 ","6 ","10","Ingen anged","Bärig.smak.inslag.körsbär.blåbär.oregano ","Bärig.doft.inslag.skogsbär.oregano.kryddor",99
"1314",214301,675090,2143,"Villa Marina","Rosso Conero",83,NA,750,110.67,"2012-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Skruvkapsyl","Marche, Rosso Conero","Italien","Antichi Poderi del Conero","Tryffelsvinet AB",2010,2010,"13.5%","FS",0,0,"Montepulciano.","8 ","8 ","9 ","Montepulciano","Kryddig.smak.fatkaraktär.inslag.mörka.körsbär.tobak.plommon.lakrits ","Kryddig.aningen.utvecklad.doft.fatkaraktär.inslag.mörka.körsbär.pinjenötter.plommon.tobak",99
"1315",214401,634253,2144,"Poliziano Vino Nobile di Montepulciano","Viti Nuove",154,NA,750,205.33,"2012-04-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Toscana, Vino Nobile di Montepulciano","Italien","Poliziano","Johan Lidby Vinhandel AB",2011,2011,"14.5%","FS",0,0,"Sangiovese.","9 ","9 ","9 ","Sangiovese","Nyanserad.kryddig.smak.fatkaraktär.inslag.körsbär.plommon.tobak.kakao ","Nyanserad.kryddig.doft.fatkaraktär.inslag.mörka.körsbär.plommon.choklad.pinjenötter",99
"1316",214508,504633,2145,"SomeZin","Zinfandel",229,NA,3000,76.33,"2010-10-01",NA,"Rott vin, Fruktigt & Smakrikt","Box","Tryckknapp topp","Kalifornien","USA","Oak Ridge Winery","Prime Wine Sweden AB",2013,2013,"14%","FS",0,0,"Zinfandel.","7 ","6 ","8 ","Zinfandel","Mycket.fruktig.smak.inslag.björnbärssylt.plommon.mjölkchoklad.vanilj ","Mycket.fruktig.doft.inslag.björnbär.plommon.mjölkchoklad.vanilj",99
"1321",215101,714108,2151,"Xavier","Grenache Vielles Vignes",87,NA,750,116,"2013-03-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rhonedalen, Côtes du Rhône","Frankrike","Xavier Vins","Vinovativa AB",2011,2011,"14.5%","FS",0,0,"85% grenache och 15% syrah.","9 ","8 ","9 ","85%,grenache,och,15%,syrah","Kryddig.nyanserad.smak.inslag.hallon.eneträ.russin.peppar.torkade.örter.lagerblad ","Kryddig.nyanserad.doft.inslag.hallon.eneträ.russin.torkade.örter.lakrits.lagerblad",99
"1325",215601,864327,2156,"Anakena","Syrah",59,NA,750,78.67,"2014-12-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Valle Central","Chile","Anakena","Theisvine AB",2013,2013,"13%","FSN",0,0,"Syrah.","8 ","8 ","9 ","Syrah","Fruktigt.något.kryddig.smak.inslag.mörka.peppar.örter ","Fruktigt.något.kryddig.doft.inslag.mörka.peppar.lakrits",99
"1327",215901,757970,2159,"Tahbilk The Tower","Shiraz",91,NA,750,121.33,"2013-09-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Victoria","Australien","Tahbilk","Spendrups Bryggeri AB",2012,NA,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1329",216201,810367,2162,"SM Cannonau di Sardegna","DOC",79,NA,750,105.33,"2014-03-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Sardinien, Cannonau di Sardegna","Italien","Sella & Mosca Commerciale Srl","Matric Italgross AB",2012,2012,"14%","FS",0,0,"Cannonau.","8 ","8 ","9 ","Cannonau","Kryddig.smak.inslag.mörka.körsbär.slånbär.torkade.örter.pinjenötter ","Kryddig.fruktig.doft.inslag.mörka.körsbär.salvia.blåbär.choklad.pinjenötter",99
"1332",216601,805439,2166,"Helderberg","The Odyssey",95,NA,750,126.67,"2014-03-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape, Coastal Region, Stellenbosch","Sydafrika","Helderberg Winery","Prime Wine Sweden AB",2013,2013,"14.5%","FS",0,0,"75% cabernet sauvignon, 12% merlot, 4% cabernet franc, 5% petit verdot och 4% malbec.","9 ","8 ","9 ","75%,cabernet,sauvignon,12%,merlot,cabernet,franc,petit,verdot,och,malbec","Mycket.fruktig.nyanserad.smak.fatkaraktär.inslag.svarta.vinbär.ceder.örter.choklad ","Mycket.fruktig.doft.fatkaraktär.inslag.svarta.vinbär.ceder.plommon.peppar.choklad",99
"1333",216701,507128,2167,"Terre de Mistral","",69,NA,750,92,"2010-10-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Skruvkapsyl","Rhonedalen, Côtes du Rhône","Frankrike","Les Vignerons d'Estezargues","Enjoy Wine & Spirits AB",2013,2013,"14%","FS",0,0,"Grenache, syrah, carignan och mourvédre.","8 ","8 ","9 ","Grenache,syrah,carignan,och,mourvédre","Kryddig.fruktig.smak.inslag.björnbär.plommon.lagerblad.fänkål.rosépeppar ","Kryddig.fruktig.doft.inslag.björnbär.plommon.fänkål.lagerblad.rosépeppar",99
"1340",217401,735628,2174,"Korta Barrel Selection","Reserve Cabernet Franc",89,NA,750,118.67,"2013-09-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Maule, Valle de Curicó, Lontué","Chile","Bodegas y Viñedos Korta","Haugen-Gruppen AB",2011,NA,"14%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1345",218001,300855,2180,"Troppo","Merlot Cabernet",69,NA,750,92,"2008-04-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Sicilien","Italien","Enjoy Wine & Spirits","Enjoy Wine & Spirits AB",2011,2011,"13.5%","FS",1,0,"70% merlot och 30% cabernet sauvignon.","6 ","6 ","9 ","Merlot,och,cabernet,sauvignon","Fruktig.smak.inslag.körsbär.sötlakrits.örter ","Fruktig.aningen.bränd.doft.inslag.körsbär.örter.lakrits",99
"1346",218002,300846,2180,"Troppo","Merlot Cabernet",44,NA,375,117.33,"2008-04-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Sicilien","Italien","Enjoy Wine & Spirits","Enjoy Wine & Spirits AB",2011,2011,"13.5%","FS",1,0,"Merlot och cabernet sauvignon.","6 ","6 ","9 ","Merlot,och,cabernet,sauvignon","Fruktig.smak.inslag.körsbär.sötlakrits.örter ","Fruktig.aningen.bränd.doft.inslag.körsbär.örter.lakrits",99
"1348",218301,858472,2183,"El Mar","Syrah",75,NA,750,100,"2014-09-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Jumilla","Spanien","Hacienda del Carche","The Wine Team",2013,2013,"13.5%","FSN",0,0,"Syrah.","8 ","8 ","9 ","Syrah","Mycket.fruktig.smak.inslag.björnbär.viol.blåbär.mörka.körsbär.örter.lakrits ","Mycket.fruktig.doft.inslag.björnbär.viol.mörka.körsbär.örter.lakrits",99
"1349",218401,697070,2184,"Kent III Edizione","Rosso",179,NA,750,238.67,"2012-09-26",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Toscana","Italien","Tua Rita","Vinovativa AB",2013,2013,"13.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1351",218601,772350,2186,"Amplus","Cabernet Sauvignon Carmenere",109,NA,750,145.33,"2013-12-02",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Maipo","Chile","Viña Santa Ema","Stellan Kramer AB",2011,2011,"13.5%","FS",0,0,"65% cabernet sauvignon och 35% carmenère.","9 ","9 ","9 ","65%,cabernet,sauvignon,och,35%,carmenère","Nyanserad.mycket.fruktig.smak.inslag.svarta.vinbär.viol.ceder.mynta.körsbär ","Nyanserad.mycket.fruktig.doft.inslag.svarta.vinbär.viol.mynta.körsbär",99
"1354",218901,670959,2189,"Montgó","Garnacha Old Vines",89,NA,750,118.67,"2012-10-01",NA,"Rott vin","Flaska","Naturkork","Cariñena","Spanien","Vinnico Export","Enjoy Wine & Spirits AB",2010,NA,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1356",219101,848126,2191,"Journey's End","Shiraz",139,NA,750,185.33,"2014-09-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Western Cape, Coastal Region, Stellenbosch","Sydafrika","Journey's End","Vinunic AB",2012,2012,"13.5%","FSN",0,0,"Shiraz.","9 ","9 ","9 ","Shiraz","Nyanserad.fruktig.smak.fatkaraktär.inslag.björnbär.lagerblad.plommon.choklad.peppar ","Nyanserad.fruktig.doft.fatkaraktär.inslag.björnbär.lagerblad.plommon.mörk.choklad.örter",99
"1359",219401,381689,2194,"Fox Creek","Red Baron Shiraz",109,NA,750,145.33,"2009-10-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","South Australia, McLaren Vale","Australien","Fox Creek Wines","Stellan Kramer AB",2013,2013,"14.5%","FS",0,0,"98% shiraz och 2% cabernet sauvignon.","9 ","9 ","9 ","98%,shiraz,och,cabernet,sauvignon","Mycket.fruktig.smak.fatkaraktär.inslag.björnbär.svarta.vinbär.mörk.choklad.vanilj.örter.lakrits ","Stor.fruktig.doft.fatkaraktär.inslag.björnbär.mynta.mörk.choklad.kaffe.vanilj",99
"1366",2201301,830942,22013,"Barbaresco","Prunotto",199,NA,750,265.33,"2014-06-02",NA,"Rott vin, Stramt & Nyanserat","Flaska","Naturkork","Piemonte, Barbaresco","Italien","Prunotto","Sigva AB",2010,2010,"13.5%","FS",0,0,"Nebbiolo.","9 ","10","10","Nebbiolo","Nyanserad.kryddig.smak.fatkaraktär.inslag.torkade.tranbär.kanel.nypon.bergamott ","Nyanserad.kryddig.doft.fatkaraktär.inslag.torkade.tranbär.körsbär.nypon.rosor.vanilj",99
"1367",2201708,36729,22017,"Oude Kaap","Cabernet Sauvignon",179,NA,3000,59.67,"2002-12-02",NA,"Rott vin","Box","Vridtapp","Western Cape","Sydafrika","Douglas Green Bellingham","Fondberg",2012,2012,"13.5%","BS",0,0,"55 % cinsaut, 45 % ruby cabernet","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1371",220401,243594,2204,"Château Bouscassé","",119,NA,750,158.67,"2007-04-02",NA,"Rott vin, Stramt & Nyanserat","Flaska","Naturkork","Frankrike sydvast, Madiran","Frankrike","Alain Brumont","Vinunic AB",2009,2009,"14.5%","FS",0,0,"50% tannat, 26% cabernet sauvignon och 24% cabernet franc.","10","11","11","50%,tannat,26%,cabernet,sauvignon,och,24%,cabernet,franc","Smakrikt.fatkaraktär.inslag.björnbär.tobak.svarta.oliver.plommon.lagerblad ","Nyanserad.doft.fatkaraktär.inslag.björnbär.lavendel.svarta.oliver.vitpeppar.plommon.lagerblad",99
"1372",2205501,17051,22055,"Jacobsdal","Pinotage",109,NA,750,145.33,"1999-04-06",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Western Cape, Coastal Region, Stellenbosch","Sydafrika","Jacobsdal Wine Estate","janake wine group AB",2011,2011,"14%","FS",0,0,"Pinotage","9 ","8 ","9 ","Pinotage","Fruktig.aningen.utvecklad.rökig.smak.fatkaraktär.inslag.mörka.rosmarin.peppar.kakao ","Fruktig.aningen.utvecklad.doft.fatkaraktär.inslag.tobak.plommon.rosmarin.mörk.choklad",99
"1373",2205901,36458,22059,"Black Granite","Shiraz",69,NA,750,92,"2002-10-07",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Skruvkapsyl","Western Cape, Coastal Region","Sydafrika","Darling Cellars","Amka Vinimport AB",NA,NA,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1374",2205908,222990,22059,"Cape Cult","Black Granite Shiraz",219,NA,3000,73,"2006-08-04",NA,"Rott vin, Fruktigt & Smakrikt","Box","Vridtapp","Western Cape, Coastal Region","Sydafrika","Darling Cellars","Amka Vinimport AB",NA,NA,"14.5%","BS",0,0,"","inte testat","inte testat","inte testat","Ingen anged","inte testat","inte testat",99
"1375",220802,856818,2208,"Ser Lapo","Riserva",89,NA,375,237.33,"2014-09-01",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Toscana, Chianti, Chianti Classico","Italien","Castello di Fonterutoli","The WineAgency Sweden AB",2010,2010,"13.5%","FSN",0,0,"90% sangiovese och 10% merlot.","8 ","8 ","10","90%,sangiovese,och,10%,merlot","Kryddig.nyanserad.smak.fatkaraktär.inslag.körsbär.kanel.mörk.choklad.sandelträ ","Kryddig.nyanserad.doft.fatkaraktär.inslag.mörka.körsbär.nougat.plommon.färska.örter.sandelträ",99
"1378",2209501,30272,22095,"Stellenzicht","Golden Triangle Shiraz",105,NA,750,140,"2001-10-01",NA,"Rott vin, Fruktigt & Smakrikt","Flaska","Naturkork","Western Cape, Coastal Region, Stellenbosch","Sydafrika","Stellenzicht","janake wine group AB",2011,2011,"14%","FS",0,0,"Shiraz.","9 ","8 ","9 ","Shiraz","Mycket.fruktig.smak.rostad.fatkaraktär.inslag.björnbär.plommon.vanilj.mynta.choklad ","Mycket.fruktig.doft.rostad.fatkaraktär.inslag.björnbär.plommon.choklad.sötlakrits.mynta",99
"1379",221101,19388,2211,"Domaine du Vieux Lazaret","",211,NA,750,281.33,"1999-08-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Rhonedalen, Côtes du Rhône, Châteauneuf-du-Pape","Frankrike","Domaine du Vieux Lazaret","Pernod Ricard Sweden AB",2011,2011,"14.5%","FS",0,0,"Grenache, syrah, mourvèdre, cinsault och counoise.","10","9 ","10","Grenache,syrah,mourvèdre,cinsault,och,counoise","Kryddig.nyanserad.smak.inslag.skogshallon.björnbär.plommon.lagerblad.peppar.tobak ","Kryddig.nyanserad.doft.inslag.skogshallon.lagerblad.plommon.peppar.charkuterier.lakrits",99
"1380",221102,221514,2211,"Domaine du Vieux Lazaret","",100,NA,375,266.67,"2006-10-02",NA,"Rott vin, Kryddigt & Mustigt","Flaska","Naturkork","Rhonedalen, Côtes du Rhône, Châteauneuf-du-Pape","Frankrike","Domaine du Vieux Lazaret","Pernod Ricard Sweden AB",2011,2011,"14.5%","FS",0,0,"Grenache, syrah, mourvèdre, cinsault och counoise.","10","9 ","10","Grenache,syrah,mourvèdre,cinsault,och,counoise","Kryddig.nyanserad.smak.inslag.skogshallon.björnbär.plommon.lagerblad.peppar.tobak ","Kryddig.nyanserad.doft.inslag.skogshallon.lagerblad.plommon.peppar.charkuterier.lakrits",99
"1381",221201,434320,2212,"Reserve du Vieux Noir","Malbec",69,NA,750,92,"2010-03-24",NA,"Rott vin, Stramt & Nyanserat","Flaska","Skruvkapsyl","Frankrike sydvast, Cahors","Frankrike","Abrard et Fils","janake wine group AB",2012,2012,"13%","FS",0,0,"Malbec.","8 ","10","9 ","Malbec","Kryddig.smak.inslag.björnbär.blåbär.viol.lakrits.rosmarin ","Kryddig.doft.inslag.björnbär.blåbär.peppar.vanilj.lakrits",99
