nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning,fyllighet,stravhet,fruktsyra,smak,doft
312801,839996,3128,Vieux Ch�teau des Jouans,,119,NA,750,158.67,2014-06-02,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Bordeaux, Saint-Emilion",Frankrike,Calvet,Enjoy Wine & Spirits AB,2013,2013,12.5%,FS,0,0,90% merlot och 10% cabernet sauvignon.,8,8,9,fruktig.nyanserad.rostad fatkaraktar.svarta vinbar.korsbar.ceder.orter.vanilj,nyanserad.fruktig.rostad fatkaraktar.svarta vinbar.korsbar.farska orter.vanilj
313401,660584,3134,AC/DC Highway to Hell,Cabernet Sauvignon,100,NA,750,133.33,2012-06-19,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,South Australia,Australien,Warburn Estate,Giertz Vinimport AB,2012,2012,13%,FS,0,0,Cabernet sauvignon.,8,7,9,mycket fruktig.fat.svarta vinbar.eukalyptus.plommon.lakrits,mycket fruktig.fat.svarta vinbar.eukalyptus.plommon.lakrits
314401,864760,3144,Santa Carolina,Specialties Mourv�dre,99,NA,750,132,2014-12-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Rapel, Cachapoal",Chile,Vi�a Santa Carolina,Chris-Wine AB,2011,2011,14.5%,FSN,0,0,Mourv�dre.,8,8,9,fruktig.fatkaraktar.morka bar.plommon.choklad.peppar.lagerblad.vanilj,fruktig.fatkaraktar.morka bar.plommon.choklad.peppar.lagerblad.vanilj
314701,718234,3147,Clarendelle,Rouge,134,NA,750,178.67,2013-01-22,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,Bordeaux,Frankrike,Clarence Dillon Wines,Hjo Grosshandel AB,2009,2009,13%,FSB,0,0,,9,9,9,nyanserad.fruktig.fatkaraktar.svarta vinbar.ceder.tobak.korsbar.orter.choklad,nyanserad.fruktig.fatkaraktar.svarta vinbar.ceder.tobak.korsbar.choklad
315601,753996,3156,De Morgenzon DMZ,Concerto,119,NA,750,158.67,2013-09-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Western Cape, Coastal Region, Stellenbosch",Sydafrika,De Morgenzon,Concealed Wines AB,2013,2013,14.5%,FS,0,0,"Syrah, mourv�dre och grenache.",9,9,9,nyanserad.fruktig.kryddig.fat.bjornbar.viol.hallon.vitpeppar.lakrits,nyanserad.fruktig.kryddig.fat.bjornbar.vitpeppar.tobak.hallon.enetra
315701,779409,3157,Ch�teau Tanesse,,94,NA,750,125.33,2013-12-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Bordeaux, Cadillac C�tes de Bordeaux",Frankrike,Ch�teau Tanesse,Hjo Grosshandel AB,2011,2011,13.5%,FS,0,0,"49% merlot, 38% cabernet sauvignon, 11% cabernet franc och 2% petit verdot.",9,8,9,nyanserad.fruktig.fatkaraktar.svarta vinbar.choklad.plommon.orter.ceder,nyanserad.fruktig.fatkaraktar.svarta vinbar.plommon.choklad.ceder.tobak
315801,779711,3158,Sannio Aglianico,,79,NA,750,105.33,2013-12-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Kampanien, Sannio",Italien,Cecas s.c (Centro Cooperativo Agroalimentare Sannita),Stellan Kramer AB,2011,2011,13.5%,FS,0,0,Aglianico.,8,8,9,<U+00D6>rtig.fat.torkad frukt.korsbar.sotlakrits.mineral.bergamott,<U+00D6>rtig.fat.torkad frukt.hallon.sotlakrits.mineral.bergamott
316901,779872,3169,Amaltea de Loxarel,,79,NA,750,105.33,2013-12-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Pened�s,Spanien,Masia can Mayols.L,Amka Vinimport AB,2012,2012,13.5%,FS,1,0,"55% cabernet sauvignon, 30% merlot och 15% tempranillo.",7,7,9,fruktig.fat.svarta vinbar.korsbar.orter.choklad.vanilj,fruktig.fat.svarta vinbar.plommon.mynta
317601,864774,3176,Bellingham Old Orchards,Malbec Mourv�dre Tannat,99,NA,750,132,2014-12-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Western Cape, Coastal Region, Paarl",Sydafrika,Douglas Green Bellingham,Fondberg,2013,2013,14%,FSN,0,0,"Malbec, mourv�dre och tannat.",9,9,9,nyanserad.fruktig.fatkaraktar.bjornbar.svarta oliver.viol.pappar.sotlakrits,nyanserad.fruktig.fatkaraktar.bjornbar.svarta oliver.orter.sotlakrits
319801,865576,3198,Kleine Zalze,Vineyard Selection Pinotage,79,NA,750,105.33,2014-12-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Western Cape,Sydafrika,Kleine Zalze,Winemarket Nordic AB,2013,2013,14%,FSN,0,0,Pinotage.,8,8,9,fruktig.fatkaraktar.bjornbar.svarta vinbar.lakrits.mynta.kakao.vanilj,fruktig.fatkaraktar.bjornbar.svarta vinbar.lakrits.orter.vanilj
320401,497350,3204,Doppio Passo,Organic Primitivo,89,NA,750,118.67,2010-05-10,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Plastkork/syntetkork,"Apulien, Salento",Italien,Botter,The Wine Team,2013,2013,13%,FS,1,0,Primitivo.,8,6,9,mycket fruktig.sotma.russin.lakrits.orter.vanilj,fruktig.syltig.russin.orter.lakrits
3213001,50120,32130,Castello di Fonterutoli,,299,NA,750,398.67,2004-09-06,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Toscana, Chianti, Chianti Classico",Italien,Marchesi Mazzei,The WineAgency Sweden AB,2010,2010,14%,FS,0,0,Sangiovese.,9,9,9,nyanserad.kryddig.rostad fatkaraktar.korsbar.hallon.kaffe.notter.orter,nyanserad.kryddig.rostad fatkaraktar.syltade korsbar.hallon.orter.kaffe.vanilj
3214501,51540,32145,Amarone della Valpolicella,Classico,399,NA,750,532,2004-12-06,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella, Amarone della Valpolicella Classico",Italien,Zenato,Hjo Grosshandel AB,2009,2009,16.5%,FS,0,0,Huvudsakligen corvina.,11,10,10,kryddigt.eldigt vin.viss sotma.fat.katrinplommon.romrussin.mintchoklad.kanel,stor.kryddig.fat.romrussin.mintchoklad.valnotter.kanel.sotlakrits
3215201,257739,32152,Tignanello,,529,NA,750,705.33,2007-05-10,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,Toscana,Italien,Marchesi Antinori,Sigva AB,2011,2011,14.5%,FS,0,0,"80% sangiovese, 15% cabernet sauvignon och 5% cabernet franc.",10,10,10,nyanserad.kryddig.rostad fatkaraktar.morka korsbar.plommon.dragon.kaffe.kakao,nyanserad.kryddig.rostad fatkaraktar.morka korsbar.plommon.dragon.viol.choklad
3215301,324034,32153,Claude Val Rouge,,65,NA,750,86.67,2008-04-01,NA,"Rott vin, Mjukt & Barigt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, VdP d'Oc",Frankrike,Domaines Claude Val,Bornicon & Salming,2013,2013,13.5%,FS,0,0,"Grenache, carignan, syrah och merlot.",5,5,9,ungdomlig.barig.skogsbar.orter.lakrits,ungdomlig.barig.skogsbar.muskot.lakrits
3215601,832055,32156,Coste Della Sesia Nebbiolo,Travaglini Giancarlo,99,NA,750,132,2014-06-02,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Piemonte, Coste Della Sesia",Italien,Travaglini Giancarlo S.A.,Amka Vinimport AB,2012,2012,13.5%,FS,0,0,Nebbiolo.,8,10,9,nyanserad.kryddig.fatkaraktar.nypon.korsbar.salvia.nejlika.pomerans.lakrits,nyanserad.kryddig.fatkaraktar.nypon.korsbar.nejlika.salvia.pomerans.lakrits
3215801,871248,32158,Brunus,Blend,119,NA,750,158.67,2014-12-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Montsant,Spanien,Portal del Montsant,Grapestyle Scandinavia,2011,2011,15%,FSN,0,0,"56% cari�ena, 33% garnacha, 5% syrah, 3,5% merlot och 2,5% cabernet sauvignon.",9,9,9,nyanserad.fruktig.fatkaraktar.morka korsbar.bjornbar.choklad.vanilj.basilika,nyanserad.fruktig.fatkaraktar.morka korsbar.blabar.choklad.vanilj.basilika
3220501,34364,32205,il Nostro,Rosso Puglia,59,NA,750,78.67,2002-08-05,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Apulien,Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,14%,FS,1,0,90% negroamaro och 10% primitivo.,6,6,9,mycket fruktig.morka bar.kryddor.lakrits,fruktig.aningen brand.morka bar.kryddor.lakrits
3222401,40738,32224,Zenato,Merlot,139,NA,750,185.33,2003-06-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Venetien, Garda",Italien,Zenato,Hjo Grosshandel AB,2010,2010,13.5%,FS,0,0,Merlot,9,8,9,nyanserad.fruktig.aningen utvecklad.fatkaraktar.morka korsbar.korinter.choklad.lavendel,nyanserad.fruktig.aningen utvecklad.fatkaraktar.korinter.plommon.lavendel.choklad.orter
3222801,41794,32228,Selvarossa,Salice Salentino,69,NA,750,92,2003-08-04,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Apulien, Salice Salentino",Italien,Cantine Due Palme,Enjoy Wine & Spirits AB,2011,2011,14%,FS,0,0,Malvasia nera och negroamaro,8,7,9,mycket fruktig.fat.plommon.korinter.vanilj.kanel,fruktig.kryddig.aningen brand.fat.korinter.morka korsbar.vanilj
3222901,42136,32229,Fonterutoli,,149,NA,750,198.67,2003-09-01,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Toscana, Chianti, Chianti Classico",Italien,Marchesi Mazzei,The WineAgency Sweden AB,2012,2012,13.5%,FS,0,0,Sangiovese.,9,9,9,nyanserad.kryddig..rostad fatkaraktar.morka korsbar.salvia.plommon.choklad,nyanserad.kryddig.rostad fatkaraktar.morka korsbar.lavendel.choklad.tobak
3234101,21944,32341,Le Tense,Sassella,137,NA,750,182.67,2000-03-06,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Lombardiet, Valtellina, Valtellina Superiore",Italien,Nino Negri,Enjoy Wine & Spirits AB,2010,2010,13.5%,FS,0,0,Chiavennasca (nebbiolo).,8,9,9,kryddig.nyanserad.fatkaraktar.korsbar.salvia.kanel.notter.rosor,kryddig.nyanserad.fatkaraktar.korsbar.salvia.kanel.notter.rosor
3236101,23550,32361,Masi Brolo Campofiorin Oro,,159,NA,750,212,2000-12-04,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Veronese",Italien,Masi,Philipson Soderberg AB,2010,2010,14%,FS,0,0,80% corvina och 20% rondinella.,9,9,9,kryddig.fat.morka korsbar.kakao.lakrits.orter,kryddig.fat.morka korsbar.plommon.torkade orter.lakrits
3236401,24248,32364,Mauro,Primitivo Alberello,64,NA,750,85.33,2000-06-05,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Apulien, Salento",Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,14%,FS,0,0,Primitivo.,7,7,9,mycket fruktig.fat.morka bar.korsbar.vanilj,mycket fruktig.aningen brand.fat.morka bar.lakrits.choklad
3236402,193689,32364,Mauro,Primitivo Alberello,37,NA,375,98.67,2006-04-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Apulien, Salento",Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,14%,FS,0,0,,7,7,9,mycket fruktig.fat.morka bar.korsbar.vanilj,mycket fruktig.aningen brand.fat.morka bar.lakrits.choklad
3236408,31888,32364,Mauro,Primitivo Alberello,209,NA,3000,69.67,2001-12-03,NA,"Rott vin, Fruktigt & Smakrikt",Box,Vingtapp,"Apulien, Salento",Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,13.5%,FS,0,0,Primitivo.,7,7,9,mycket fruktig.fat.morka bar.korsbar.vanilj,mycket fruktig.aningen brand.fat.morka bar.lakrits.choklad
3236701,24251,32367,Canaletto,Zinfandel,79,NA,750,105.33,2000-10-02,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Apulien,Italien,Casa Girelli,Chris-Wine AB,2011,2011,13.5%,FS,0,0,Primitivo.,6,6,9,fruktig.fat.morka bar.korsbar.vanilj.mynta,fruktig.fat.morka bar.lakrits.mynta
3240908,29186,32409,il Conte,Appassimento Zinfandel Negroamaro,179,NA,3000,59.67,2001-09-03,NA,"Rott vin, Fruktigt & Smakrikt",Box,Tryckknapp front,"Apulien, Salento",Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,13.5%,FS,0,0,"Primitivo 80%, negroamaro 20%",6,6,8,fruktig.fat.skogsbar.lakrits.vanilj,fruktig.fat.skogsbar.vanilj.lakrits
3241001,29242,32410,Primicia,,69,NA,750,92,2001-12-03,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Plastkork/syntetkork,Rioja,Spanien,Bodegas Primicia,Oenoforos AB,2013,2013,13.5%,FS,0,0,Tempranillo 90% och garnacha 10%,7,7,9,kryddig.fat.bjornbar.jordgubbar.orter.vanilj,kryddig.fat.bjornbar.jordgubbar.orter.vanilj
3241108,30230,32411,Allegro,Sangiovese Primitivo,219,NA,3000,73,2001-10-01,NA,"Rott vin, Fruktigt & Smakrikt",Box,Vingtapp,Apulien,Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,13.5%,FS,0,0,Sangiovese 80% och primitivo 20%.,8,7,9,mycket fruktig.fat.morka bar.korsbar.orter.vanilj,mycket fruktig.fat.morka bar.timjan.choklad
3241201,29244,32412,Allegro,Primitivo,69,NA,750,92,2001-11-05,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Apulien,Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,14.5%,FS,0,0,Primitivo.,7,7,9,mycket fruktig.fat.morka bar.choklad.viol.vanilj,fruktig.fat.morka korsbar.viol.choklad.vanilj
3241701,30144,32417,Villa Puccini,,87,NA,750,116,2001-09-03,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Toscana,Italien,Villa Puccini,Nigab,2010,2010,12.5%,FS,0,0,"Sangiovese 90%, merlot 10%",9,9,10,kryddig.nyanserad.fatkaraktar.morka korsbar.plommon.choklad.orter,kryddig.fruktig.fatkaraktar.morka korsbar.orter.choklad.plommon.lakrits
3241702,43561,32417,Villa Puccini,,50,NA,375,133.33,2003-11-03,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Toscana,Italien,Villa Puccini,Nigab,2010,2010,12.6%,FS,0,0,,9,9,10,kryddig.nyanserad.fatkaraktar.morka korsbar.plommon.choklad.orter,kryddig.fruktig.fatkaraktar.morka korsbar.orter.choklad.plommon.lakrits
3241706,43560,32417,Villa Puccini,,166,NA,1500,110.67,2003-11-03,NA,"Rott vin, Kryddigt & Mustigt",Magnum,Naturkork,Toscana,Italien,Villa Puccini,Nigab,2010,2010,12.6%,FS,0,0,,9,9,10,kryddig.nyanserad.fatkaraktar.morka korsbar.plommon.choklad.orter,kryddig.fruktig.fatkaraktar.morka korsbar.orter.choklad.plommon.lakrits
3243101,41807,32431,Boira',Sangiovese,89,NA,750,118.67,2003-08-04,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Marche,Italien,Cantine Volpi,Bibendum,2013,2013,13%,FS,1,0,Sangiovese,7,7,9,fruktig.fat.korsbar.choklad.vanilj,fruktig.fat.korsbar.choklad.vanilj.orter
3244401,37503,32444,Masi Grandarella,Appassimento,199,NA,750,265.33,2002-12-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Delle Venezie",Italien,Masi,Philipson Soderberg AB,2010,2010,14.5%,FS,0,0,75% refosco och 25% carmen�re.,10,9,9,nyanserad.kryddig.fat.morka korsbar.korinter.peppar.orter.choklad,nyanserad.kryddig.fat.morka korsbar.russin.choklad.salvia.lagerblad
3245201,39521,32452,Raccolto,Nero d'Avola Cabernet Sauvignon,89,NA,750,118.67,2003-04-07,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Sicilien,Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,14%,FS,1,0,"60% nero d'avola, 40% cabernet sauvignon",7,7,9,mycket fruktig.aningen brandfat.svarta vinbar.korsbar.viol.lakrits,mycket fruktig.aningen brand.ensvarta vinbar.korsbar.lakrits.vanilj
3245202,272731,32452,Raccolto,Nero d'Avola Cabernet Sauvignon,47,NA,375,125.33,2007-10-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Sicilien,Italien,Nordic Sea Winery,Oenoforos AB,2013,2013,14%,FS,1,0,"60% nero d'avola, 40% cabernet sauvignon",7,7,9,mycket fruktig.aningen brandfat.svarta vinbar.korsbar.viol.lakrits,mycket fruktig.aningen brand.ensvarta vinbar.korsbar.lakrits.vanilj
3247201,42014,32472,Le Volte,,159,NA,750,212,2003-11-03,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,Toscana,Italien,Ornellaia,Carovin AB,2012,2012,13.5%,FS,0,0,"50% merlot, 30% sangiovese och 20% cabernet sauvignon.",9,9,9,nyanserad.fruktig.fatkaraktar.svarta vinbar.orter.bjornbar.ceder.kakao,nyanserad.fruktig.fatkaraktar.svarta vinbar.bjornbar.salvia.choklad.pinjenotter
330001,507546,3300,Passitivo,Primitivo,89,NA,750,118.67,2010-06-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Plastkork/syntetkork,Apulien,Italien,Cantine Paolo Leo,WineWorld AB,2012,2012,14.5%,FS,0,0,Primitivo.,9,7,9,generost fruktig.fat.morka korsbar.lavendel.katrinplommon.vanilj,mycket fruktig.fat.morka korsbar.lavendel.katrinplommon.choklad
330201,659278,3302,Raccolto,Appassimento,89,NA,750,118.67,2012-04-10,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Plastkork/syntetkork,Venetien,Italien,Nordic Sea Winery,Oenoforos AB,2012,2012,14%,FS,0,0,,9,8,9,kryddig.fruktig.fatkaraktar.morka korsbar.plommon.orter.kakao.vanilj,kryddig.fruktig.fatkaraktar.morka korsbar.plommon.orter.mjolkchoklad
330501,864832,3305,Tbilvino Saperavi,,85,NA,750,113.33,2014-12-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Kakheti Region,Georgien,JSC Tibilvino,Amka Vinimport AB,2013,2013,13%,FSN,0,0,Saperavi.,9,8,9,rikt.fruktigt vin.fat.bjornbar.viol.svarta oliver.rok.orter.plommon,nyanserad.fruktig.fat.bjornbar.viol.svarta oliver.rok.plommon
330901,865231,3309,Ferngrove,Cabernet Sauvignon,99,NA,750,132,2014-12-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,"Western Australia, Margaret River",Australien,Ferngrove Wines,Modern Wines Sweden AB,2013,2013,14%,FSN,0,0,Cabernet sauvignon.,10,9,9,nyanserad.fruktig.fatkaraktar.svarta vinbar.bjornbar.mynta.ceder.vanilj,nyanserad.fruktig.fatkaraktar.svarta vinbar.bjornbar.mintchoklad.vanilj.tobak
350101,637098,3501,Epicuro,Riserva,85,NA,750,113.33,2012-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Apulien, Salice Salentino",Italien,Femar Vini,Domaine Wines Sweden AB,2010,2010,13.5%,FS,0,0,Negroamaro och malvasia nera.,8,8,9,kryddig.utvecklad.fatkaraktar.korinter.salvia.mork choklad.vanilj,kryddig.utvecklad.fatkaraktar.korinter.salvia.sotlakrits.gummi.vanilj
355001,25491,3550,Ch�teau Labadie,,119,NA,750,158.67,2000-11-06,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Bordeaux, C�tes de Bourg",Frankrike,,Hjo Grosshandel AB,2010,2010,14.5%,FS,0,0,"Egendomen ar planterad med 60% merlot, 20% cabernet franc och 20% cabernet sauvignon.",9,9,9,nyanserad.rostad fatkaraktar.svarta vinbar.plommon.mork choklad.ceder.kaffe,nyanserad.rostad fatkaraktar.svarta vinbar.plommon.tobak.choklad.notter
357001,27657,3570,Ch�teau de Seguin,Cuv�e Prestige,129,NA,750,172,2001-09-03,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Bordeaux, Bordeaux Sup�rieur",Frankrike,,Chris-Wine AB,2012,2012,13.5%,FS,0,0,"60% merlot, 37% cabernet sauvignon och 3% petit verdot.",9,8,9,fruktig.rostad fatkaraktar.plommon.svarta vinbar.ceder.tobak,fruktig.rostad fatkaraktar.svarta vinbar.plommon.ceder.orter.kaffe
381401,335819,3814,Les Hauts de Granget,,165,NA,750,220,2008-10-01,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Bordeaux, Saint-Emilion, Saint-Emilion Grand Cru",Frankrike,Union de Producteurs de Saint-�milion,janake wine group AB,2010,2010,14%,FS,0,0,"83% merlot, 11% cabernet franc och 6% cabernet sauvignon.",9,9,9,nyanserad.stram.karaktar av rostade ekfat.svarta vinbar.ceder.korinter.orter.kaffe.kakao,nyanserad.karaktar av rostade ekfat.korinter.svarta vinbar.tobak.kaffe.mork choklad
392501,241603,3925,Ch�teau Belgrave,,395,NA,750,526.67,2007-04-02,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Bordeaux, Haut-M�doc",Frankrike,,Vinunic AB,2010,2010,14%,FS,0,0,"58% cabernet sauvignon, 40% merlot och 2% petit verdot.",9,9,9,nyanserad.fruktig.fatkaraktar.svarta vinbar.plommon.mork choklad.lakrits.ceder,nyanserad.fatkaraktar.svarta vinbar.plommon.ceder.lakrits.mork choklad
393001,854008,3930,Santa Lucia Curtefranca,Rosso,99,NA,750,132,2014-09-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Lombardiet, Franciacorta, Curtefranca",Italien,Azienda Agricola Santa Lucia,People Wine AB,2012,2012,12.5%,FSN,0,0,50% cabernet sauvignon och 50% merlot.,8,8,10,nyanserad.utvecklad.fatkaraktar.svarta vinbar.plommon.korinter.ceder,nyanserad.kryddig.utvecklad.fatkaraktar.svarta vinbar.stall.korinter.tobak
395801,15310,3958,Ch�teau de Seguin,,99,NA,750,132,1998-09-07,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Bordeaux, Bordeaux Sup�rieur",Frankrike,,Chris-Wine AB,2012,2012,13%,FS,0,0,65% merlot och 35% cabernet sauvignon.,8,8,9,fruktig.fatkaraktar.svarta vinbar.slanbar.ceder.orter,fruktig.fatkaraktar.svarta vinbar.plommon.ceder.orter
395806,21775,3958,Ch�teau de Seguin,,199,NA,1500,132.67,2000-01-03,NA,"Rott vin, Fruktigt & Smakrikt",Magnum,Naturkork,"Bordeaux, Bordeaux Sup�rieur",Frankrike,,Chris-Wine AB,2012,2012,13%,FS,0,0,65% merlot och 35% cabernet sauvignon.,8,8,9,fruktig.fatkaraktar.svarta vinbar.slanbar.ceder.orter,fruktig.fatkaraktar.svarta vinbar.plommon.ceder.orter
399401,394722,3994,Ch�teau Haut-Canteloup,,100,NA,750,133.33,2009-10-01,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Bordeaux, Premi�res C�tes de Blaye",Frankrike,,TOMP Beer Wine & Spirits AB,2011,2011,13%,FS,0,0,"75% merlot, 20% cabernet sauvignon och 5% cabernet franc.",8,8,9,nyanserad.rostad fatkaraktar.svarta vinbar.plommon.orter.ceder,nyanserad.rostad fatkaraktar.svarta vinbar.plommon.orter.choklad.ceder
399501,853992,3995,Falerno di Massico,Rosso,99,NA,750,132,2014-09-01,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Kampanien, Falerno del Massico",Italien,Azienda Agricola di Brini Maria Felicia,Vinunic AB,2011,2011,14%,FSN,0,0,80% aglianico och 20% piedrosso.,10,10,10,fruktig.kryddig.fatkaraktar.katrinplommon.lavendel.morka korsbar.tobak.kakao.kanel,fruktig.kryddig.fatkaraktar.katrinplommon.lavendel.morka korsbar.tobak.kanel
4230201,26473,42302,Brunello di Montalcino,Val di Suga,254,NA,750,338.67,2000-11-06,NA,"Rott vin, Stramt & Nyanserat",Flaska,Naturkork,"Toscana, Brunello di Montalcino",Italien,Tenimenti Angelini,Oenoforos AB,2009,2009,15%,FS,0,0,Brunello (sangiovese).,9,10,10,nyanserad.nagot utvecklad.kryddig..fatkaraktar.torkade korsbar.kanel.nypon,nyanserad.nagot utvecklad.kryddig.fatkaraktar.torkade korsbar.kanel.nypon.timjan
4233401,32715,42334,La Grola,,159,NA,750,212,2002-02-04,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Veronese",Italien,Allegrini,The WineAgency Sweden AB,2011,2011,13.5%,FS,0,0,"80% corvina, 10% oseleta och 10% syrah.",9,9,9,nyanserad.fruktig.fatkaraktar.svarta vinbar.morka korsbar.orter.kaffe,nyanserad.fruktig.fatkaraktar.svarta vinbar.morka korsbar.salvia.lakrits
428001,812445,4280,Cap de Ruc,,79,NA,750,105.33,2014-03-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,Montsant,Spanien,Celler Ronadelles,Sigva AB,2012,2012,14.5%,FS,0,0,"Garnatxa negra (grenache), syrah och sams�.",9,9,9,rikt vin.fat.lavendel.katrinplommon.svarta oliver.enetra.korsbar.choklad,nyanserad.fat.lavendel.katrinplommon.svarta oliver.romrussin.choklad
456701,51073,4567,Casillero del Diablo,Merlot,77,NA,750,102.67,2004-12-06,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Skruvkapsyl,Rapel,Chile,Concha y Toro,Concha y Toro Sweden AB,2013,2013,13.5%,FS,0,0,Merlot.,8,7,9,mycket fruktig.aningen brand.fatkaraktar.morka bar.gras.vanilj,mycket fruktig.aningen brand.fatkaraktar.morka bar.vanilj.orter
457001,166588,4570,Club Privado,Reserva,107,NA,750,142.67,2005-10-01,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Baron de Ley,Enjoy Wine & Spirits AB,2009,2009,13.5%,FS,0,0,Tempranillo.,7,7,9,kryddig.fatkaraktar.korsbar.jordgubbar.vanilj.dill.kakao,kryddig.fatkaraktar.morka korsbar.jordgubbar.dill.vanilj
458608,235847,4586,Rocca di Montemassi,Sangiovese,245,NA,3000,81.67,2007-10-01,NA,"Rott vin, Fruktigt & Smakrikt",Box,Vingtapp,"Toscana, Maremma Toscana",Italien,Tenuta Rocca di Montemassi,Pernod Ricard Sweden AB,2012,2012,13%,FS,0,0,Sangiovese.,7,6,9,fruktig.fat.morka korsbar.rosmarin.kanel.vanilj.choklad,fruktig.fat.morka korsbar.kanel.vanilj.choklad.orter
459901,778975,4599,Gayda Syrah,,79,NA,750,105.33,2013-12-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Skruvkapsyl,"Languedoc-Roussillon, VdP d'Oc",Frankrike,Domaine Gayda,Divine AB,2012,2012,13%,FS,0,0,Syrah.,8,8,9,kryddig.fat.morka bar.lagerblad.timjan.kanel.lakrits,kryddig.fat.morka bar.lagerblad.timjan.plommon.lakrits
