nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Slutlev,Varugrupp,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,Ekologisk,Koscher,RavarorBeskrivning,fyllighet,stravhet,fruktsyra,smak,doft
1237801,15603,12378,Prego Rosso,,59,NA,1000,59,1998-05-04,NA,"Rott vin, Mjukt & Barigt",Papp,,,Italien,Cantine Settesoli,Nigab,NA,NA,13.5%,FS,0,0,,5,4,9,barig.morka bar.korsbar..vanilj,barig.morka bar.lakrits
1237901,545091,12379,Castelforte,Amarone della Valpolicella,169,NA,750,225.33,2010-12-14,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Cantine Riondo,Winepartners Nordic AB,2010,2010,15%,FS,0,0,"Corvina, rondinella och molinara samt ovriga druvsorter.",10,9,10,kryddig.fruktig.fat.morka korsbar.kanel.torkade tranbar.choklad,kryddig.fruktig.fat.morka korsbar.kanel.svart te.russin.choklad
1237906,597060,12379,Castelforte,Amarone della Valpolicella,319,NA,1500,212.67,2011-08-15,NA,"Rott vin, Kryddigt & Mustigt",Magnum,Naturkork,"Venetien, Valpolicella, Amarone della Valpolicella",Italien,Cantine Riondo,Winepartners Nordic AB,2010,2010,15%,FS,0,0,"Corvina, rondinella och molinara samt ovriga druvsorter.",10,9,10,kryddig.fruktig.fat.morka korsbar.kanel.torkade tranbar.choklad,kryddig.fruktig.fat.morka korsbar.kanel.svart te.russin.choklad
1238001,857512,12380,Rendola Governo,,115,NA,750,153.33,2014-09-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,Toscana,Italien,Rendola Srl,The Wine Team,2012,2012,14%,FSN,0,0,75% sangiovese och 25% merlot.,10,8,9,rikt.fruktigt vin.fatkaraktar.plommon.choklad.korsbar.kryddor.romrussin.vanilj,nyanserad.fruktig.fatkaraktar.plommon.mjolkchoklad.korsbar.kaffe.sotlakrits.vanilj
1238501,11613,12385,Zenato,Valpolicella Classico,127,NA,750,169.33,1997-06-02,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,"Venetien, Valpolicella, Valpolicella Classico",Italien,Zenato,Hjo Grosshandel AB,2011,2011,13.5%,FS,0,0,"70% corvina, 20% rondinella och 10% sangiovese.",9,8,9,nyanserad.kryddig.fat.morka korsbar.katrinplommon.salvia.tobak.choklad,nyanserad.kryddig.fat.morka korsbar.korinter.pinjenotter.viol.choklad
1239901,848751,12399,Sivas-Sonoma,Old Vine Zinfandel,149,NA,750,198.67,2014-09-01,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Kalifornien, North Coast, Sonoma County",USA,Don Sebastiani & Sons,Sundance Wines AB,2011,2011,15%,FSN,0,0,"87% zinfandel, 6% tannat, 4% petite sirah och 3% sangiovese.",9,8,9,nyanserad.fruktig.fatkaraktar.bjornbar.hallon.viol.mynta.kanel.vanilj,nyanserad.fruktig.fatkaraktar.bjornbar.hallon.viol.kanel.choklad.vanilj
1250701,11560,12507,Vila Santa,Reserva,99,NA,750,132,2000-12-04,NA,"Rott vin, Fruktigt & Smakrikt",Flaska,Naturkork,"Alentejo, Alentejano",Portugal,Jo�o Portugal Ramos,Hermansson & Co AB,2012,2012,14%,FS,0,0,"Trincadeira, aragones, periquita, alicante bouschet och cabernet sauvignon.",inte testat,inte testat,inte testat,inte testat,inte testat
1250706,35329,12507,Vila Santa,Reserva,199,NA,1500,132.67,2002-08-05,NA,"Rott vin, Fruktigt & Smakrikt",Magnum,Naturkork,"Alentejo, Alentejano",Portugal,Jo�o Portugal Ramos,Hermansson & Co AB,2012,2012,14%,FS,0,0,,inte testat,inte testat,inte testat,inte testat,inte testat
1250708,636159,12507,Vila Santa,Reserva,275,NA,3000,91.67,2011-12-28,NA,"Rott vin, Fruktigt & Smakrikt",Box,Vingtapp,"Alentejo, Alentejano",Portugal,Jo�o Portugal Ramos,Hermansson & Co AB,2012,2012,14%,FS,0,0,"Trincadeira, aragones, periquita, alicante bouschet och cabernet sauvignon.",inte testat,inte testat,inte testat,inte testat,inte testat
1260101,11321,12601,Conde de Valdemar,Gran Reserva,129,NA,750,172,1996-09-16,NA,"Rott vin, Kryddigt & Mustigt",Flaska,Naturkork,Rioja,Spanien,Bodegas Valdemar,Sigva AB,2005,2005,13.5%,FS,0,0,90% tempranillo och 10% mazuelo.,8,8,9,utvecklad.kryddig.nyanserad.fatkaraktar.plommon.dill.morka korsbar.korinter.kakao.tobak,utvecklad.kryddig.nyanserad.fatkaraktar.plommon.dill.korinter.choklad.tobak
